, Seattle Mariners, 5, @,  Anaheim Angels, 4,     Boxscore,
,Minnesota Twins, 5, @,  Cleveland Indians, 9,     Boxscore,
, Houston Astros, 8, @,  Colorado Rockies, 4,     Boxscore,
, Montreal Expos, 10, @,  Florida Marlins, 2,     Boxscore,
, Atlanta Braves, 2, @,  Philadelphia Phillies, 1,     Boxscore,
,Cincinnati Reds, 0, @,  Pittsburgh Pirates, 1,     Boxscore,
,Arizona D'Backs, 0, @,  San Diego Padres, 8,     Boxscore,
, New York Yankees, 16, @,  Toronto Blue Jays, 3,     Boxscore,
, Seattle Mariners, 5, @,  Anaheim Angels, 1,     Boxscore,
,Kansas City Royals, 4, @,  Boston Red Sox, 8,     Boxscore,
,New York Mets, 0, @,  Chicago Cubs, 2,     Boxscore,
,Minnesota Twins, 4, @,  Cleveland Indians, 5,     Boxscore,
,Houston Astros, 5, @,  Colorado Rockies, 10,     Boxscore,
, Chicago White Sox, 8, @,  Detroit Tigers, 2,     Boxscore,
,Atlanta Braves, 4, @,  Philadelphia Phillies, 7,     Boxscore,
,Arizona D'Backs, 2, @,  San Diego Padres, 5,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Francisco Giants, 0,     Boxscore,
,Milwaukee Brewers, 5, @,  St. Louis Cardinals, 6,     Boxscore,
, Oakland Athletics, 5, @,  Texas Rangers, 4,     Boxscore,
, New York Yankees, 5, @,  Toronto Blue Jays, 2,     Boxscore,
, Seattle Mariners, 8, @,  Anaheim Angels, 1,     Boxscore,
, Tampa Bay Devil Rays, 3, @,  Baltimore Orioles, 2,     Boxscore,
, Kansas City Royals, 6, @,  Boston Red Sox, 2,     Boxscore,
, New York Mets, 3, @,  Chicago Cubs, 2,     Boxscore,
,Minnesota Twins, 3, @,  Cleveland Indians, 9,     Boxscore,
,Houston Astros, 1, @,  Colorado Rockies, 4,     Boxscore,
, Chicago White Sox, 7, @,  Detroit Tigers, 5,     Boxscore,
, Montreal Expos, 9, @,  Florida Marlins, 7,     Boxscore,
,Atlanta Braves, 5, @,  Philadelphia Phillies, 7,     Boxscore,
, Cincinnati Reds, 8, @,  Pittsburgh Pirates, 5,     Boxscore,
,Arizona D'Backs, 1, @,  San Diego Padres, 2,     Boxscore,
,Los Angeles Dodgers, 1, @,  San Francisco Giants, 2,     Boxscore,
,Milwaukee Brewers, 5, @,  St. Louis Cardinals, 6,     Boxscore,
,Oakland Athletics, 2, @,  Texas Rangers, 4,     Boxscore,
,New York Yankees, 7, @,  Toronto Blue Jays, 9,     Boxscore,
, Seattle Mariners, 8, @,  Anaheim Angels, 4,     Boxscore,
,Tampa Bay Devil Rays, 6, @,  Baltimore Orioles, 15,     Boxscore,
, Kansas City Royals, 8, @,  Boston Red Sox, 5,     Boxscore,
, New York Mets, 3, @,  Chicago Cubs, 2,     Boxscore,
,Minnesota Twins, 4, @,  Cleveland Indians, 8,     Boxscore,
, Arizona D'Backs, 8, @,  Colorado Rockies, 4,     Boxscore,
,Montreal Expos, 5, @,  Florida Marlins, 7,     Boxscore,
, Atlanta Braves, 6, @,  Philadelphia Phillies, 2,     Boxscore,
, Cincinnati Reds, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Francisco Giants, 3,     Boxscore,
,Milwaukee Brewers, 5, @,  St. Louis Cardinals, 6,     Boxscore,
,Oakland Athletics, 0, @,  Texas Rangers, 7,     Boxscore,
,New York Yankees, 3, @,  Toronto Blue Jays, 11,     Boxscore,
, Oakland Athletics, 5, @,  Anaheim Angels, 1,     Boxscore,
,New York Yankees, 2, @,  Boston Red Sox, 3,     Boxscore,
,Baltimore Orioles, 2, @,  Chicago White Sox, 5,     Boxscore,
,Kansas City Royals, 1, @,  Cleveland Indians, 3,     Boxscore,
, Arizona D'Backs, 8, @,  Colorado Rockies, 3,     Boxscore,
, Atlanta Braves, 2, @,  Florida Marlins, 0,     Boxscore,
,Detroit Tigers, 2, @,  Minnesota Twins, 4,     Boxscore,
,Montreal Expos, 1, @,  New York Mets, 2,     Boxscore,
, Cincinnati Reds, 8, @,  Philadelphia Phillies, 5,     Boxscore,
, Chicago Cubs, 7, @,  Pittsburgh Pirates, 3,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Diego Padres, 0,     Boxscore,
,Milwaukee Brewers, 1, @,  San Francisco Giants, 5,     Boxscore,
,Houston Astros, 3, @,  St. Louis Cardinals, 7,     Boxscore,
, Toronto Blue Jays, 14, @,  Tampa Bay Devil Rays, 7,     Boxscore,
, Seattle Mariners, 7, @,  Texas Rangers, 3,     Boxscore,
, Oakland Athletics, 7, @,  Anaheim Angels, 2,     Boxscore,
,New York Yankees, 6, @,  Boston Red Sox, 7,     Boxscore,
,Baltimore Orioles, 3, @,  Chicago White Sox, 4,     Boxscore,
,Kansas City Royals, 7, @,  Cleveland Indians, 8,     Boxscore,
, Arizona D'Backs, 7, @,  Colorado Rockies, 5,     Boxscore,
,Atlanta Braves, 4, @,  Florida Marlins, 5,     Boxscore,
,Detroit Tigers, 3, @,  Minnesota Twins, 7,     Boxscore,
, Montreal Expos, 9, @,  New York Mets, 8,     Boxscore,
, Cincinnati Reds, 5, @,  Philadelphia Phillies, 2,     Boxscore,
,Chicago Cubs, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Diego Padres, 6,     Boxscore,
,Milwaukee Brewers, 2, @,  San Francisco Giants, 3,     Boxscore,
,Houston Astros, 1, @,  St. Louis Cardinals, 2,     Boxscore,
, Toronto Blue Jays, 5, @,  Tampa Bay Devil Rays, 4,     Boxscore,
, Seattle Mariners, 9, @,  Texas Rangers, 4,     Boxscore,
,Oakland Athletics, 1, @,  Anaheim Angels, 4,     Boxscore,
, New York Yankees, 6, @,  Boston Red Sox, 2,     Boxscore,
, Baltimore Orioles, 9, @,  Chicago White Sox, 4,     Boxscore,
, Arizona D'Backs, 6, @,  Colorado Rockies, 3,     Boxscore,
,Atlanta Braves, 0, @,  Florida Marlins, 7,     Boxscore,
,Detroit Tigers, 7, @,  Minnesota Twins, 13,     Boxscore,
,Montreal Expos, 4, @,  New York Mets, 6,     Boxscore,
,Cincinnati Reds, 1, @,  Philadelphia Phillies, 3,     Boxscore,
, Chicago Cubs, 5, @,  Pittsburgh Pirates, 1,     Boxscore,
,Los Angeles Dodgers, 0, @,  San Diego Padres, 1,     Boxscore,
, Milwaukee Brewers, 4, @,  San Francisco Giants, 3,     Boxscore,
, Houston Astros, 5, @,  St. Louis Cardinals, 4,     Boxscore,
,Toronto Blue Jays, 4, @,  Tampa Bay Devil Rays, 5,     Boxscore,
, Seattle Mariners, 9, @,  Texas Rangers, 7,     Boxscore,
,St. Louis Cardinals, 5, @,  Arizona D'Backs, 14,     Boxscore,
,New York Yankees, 3, @,  Boston Red Sox, 4,     Boxscore,
,Baltimore Orioles, 4, @,  Chicago White Sox, 13,     Boxscore,
, Los Angeles Dodgers, 5, @,  Colorado Rockies, 2,     Boxscore,
, Pittsburgh Pirates, 6, @,  Milwaukee Brewers, 1,     Boxscore,
, Chicago Cubs, 6, @,  Montreal Expos, 4,     Boxscore,
,Atlanta Braves, 6, @,  New York Mets, 7,     Boxscore,
,San Francisco Giants, 3, @,  San Diego Padres, 4,     Boxscore,
, Seattle Mariners, 13, @,  Texas Rangers, 11,     Boxscore,
,Texas Rangers, 5, @,  Anaheim Angels, 6,     Boxscore,
,St. Louis Cardinals, 3, @,  Arizona D'Backs, 5,     Boxscore,
,Cleveland Indians, 5, @,  Chicago White Sox, 10,     Boxscore,
, Houston Astros, 8, @,  Cincinnati Reds, 3,     Boxscore,
,Los Angeles Dodgers, 4, @,  Colorado Rockies, 6,     Boxscore,
,Tampa Bay Devil Rays, 3, @,  Detroit Tigers, 9,     Boxscore,
,Philadelphia Phillies, 6, @,  Florida Marlins, 7,     Boxscore,
, Pittsburgh Pirates, 5, @,  Milwaukee Brewers, 1,     Boxscore,
,Kansas City Royals, 5, @,  Minnesota Twins, 8,     Boxscore,
,Chicago Cubs, 4, @,  Montreal Expos, 8,     Boxscore,
, Baltimore Orioles, 5, @,  New York Yankees, 4,     Boxscore,
,Atlanta Braves, 1, @,  New York Mets, 3,     Boxscore,
, Seattle Mariners, 6, @,  Oakland Athletics, 2,     Boxscore,
, San Francisco Giants, 5, @,  San Diego Padres, 1,     Boxscore,
, Boston Red Sox, 14, @,  Toronto Blue Jays, 3,     Boxscore,
, Texas Rangers, 4, @,  Anaheim Angels, 1,     Boxscore,
, St. Louis Cardinals, 8, @,  Arizona D'Backs, 4,     Boxscore,
,Cleveland Indians, 2, @,  Chicago White Sox, 7,     Boxscore,
, Houston Astros, 7, @,  Cincinnati Reds, 2,     Boxscore,
, Los Angeles Dodgers, 6, @,  Colorado Rockies, 3,     Boxscore,
,Tampa Bay Devil Rays, 6, @,  Detroit Tigers, 7,     Boxscore,
, Philadelphia Phillies, 7, @,  Florida Marlins, 5,     Boxscore,
, Pittsburgh Pirates, 3, @,  Milwaukee Brewers, 2,     Boxscore,
, Kansas City Royals, 16, @,  Minnesota Twins, 3,     Boxscore,
,Chicago Cubs, 8, @,  Montreal Expos, 15,     Boxscore,
,Baltimore Orioles, 1, @,  New York Yankees, 7,     Boxscore,
, Atlanta Braves, 2, @,  New York Mets, 1,     Boxscore,
, Seattle Mariners, 7, @,  Oakland Athletics, 4,     Boxscore,
,San Francisco Giants, 3, @,  San Diego Padres, 5,     Boxscore,
, Boston Red Sox, 10, @,  Toronto Blue Jays, 3,     Boxscore,
,Cleveland Indians, 1, @,  Chicago White Sox, 7,     Boxscore,
,Houston Astros, 4, @,  Cincinnati Reds, 5,     Boxscore,
, Tampa Bay Devil Rays, 6, @,  Detroit Tigers, 4,     Boxscore,
,Philadelphia Phillies, 7, @,  Florida Marlins, 8,     Boxscore,
,San Diego Padres, 2, @,  Los Angeles Dodgers, 5,     Boxscore,
,St. Louis Cardinals, 5, @,  Milwaukee Brewers, 7,     Boxscore,
,Kansas City Royals, 1, @,  Minnesota Twins, 4,     Boxscore,
, New York Mets, 1, @,  Montreal Expos, 0,     Boxscore,
,Baltimore Orioles, 4, @,  New York Yankees, 8,     Boxscore,
,Anaheim Angels, 2, @,  Oakland Athletics, 4,     Boxscore,
, Colorado Rockies, 8, @,  Arizona D'Backs, 6,     Boxscore,
,Florida Marlins, 2, @,  Atlanta Braves, 3,     Boxscore,
, Detroit Tigers, 8, @,  Chicago White Sox, 2,     Boxscore,
,Cincinnati Reds, 2, @,  Chicago Cubs, 5,     Boxscore,
, San Francisco Giants, 3, @,  Houston Astros, 2,     Boxscore,
, Boston Red Sox, 4, @,  Kansas City Royals, 0,     Boxscore,
,San Diego Padres, 2, @,  Los Angeles Dodgers, 5,     Boxscore,
,St. Louis Cardinals, 1, @,  Milwaukee Brewers, 6,     Boxscore,
,Cleveland Indians, 3, @,  Minnesota Twins, 12,     Boxscore,
,New York Mets, 3, @,  Montreal Expos, 5,     Boxscore,
,Toronto Blue Jays, 5, @,  New York Yankees, 6,     Boxscore,
, Anaheim Angels, 9, @,  Oakland Athletics, 7,     Boxscore,
,Philadelphia Phillies, 4, @,  Pittsburgh Pirates, 7,     Boxscore,
, Texas Rangers, 9, @,  Seattle Mariners, 0,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Devil Rays, 5,     Boxscore,
,Colorado Rockies, 8, @,  Arizona D'Backs, 9,     Boxscore,
,Florida Marlins, 1, @,  Atlanta Braves, 3,     Boxscore,
,Detroit Tigers, 5, @,  Chicago White Sox, 12,     Boxscore,
, Cincinnati Reds, 6, @,  Chicago Cubs, 1,     Boxscore,
, San Francisco Giants, 13, @,  Houston Astros, 9,     Boxscore,
,San Diego Padres, 1, @,  Los Angeles Dodgers, 4,     Boxscore,
,St. Louis Cardinals, 3, @,  Milwaukee Brewers, 5,     Boxscore,
,Cleveland Indians, 2, @,  Minnesota Twins, 6,     Boxscore,
,New York Mets, 5, @,  Montreal Expos, 7,     Boxscore,
, Toronto Blue Jays, 5, @,  New York Yankees, 4,     Boxscore,
,Anaheim Angels, 7, @,  Oakland Athletics, 8,     Boxscore,
,Philadelphia Phillies, 5, @,  Pittsburgh Pirates, 6,     Boxscore,
,Texas Rangers, 2, @,  Seattle Mariners, 3,     Boxscore,
, Baltimore Orioles, 6, @,  Tampa Bay Devil Rays, 3,     Boxscore,
,Colorado Rockies, 1, @,  Arizona D'Backs, 7,     Boxscore,
,Florida Marlins, 2, @,  Atlanta Braves, 4,     Boxscore,
,Detroit Tigers, 8, @,  Chicago White Sox, 11,     Boxscore,
, Cincinnati Reds, 5, @,  Chicago Cubs, 3,     Boxscore,
,San Francisco Giants, 0, @,  Houston Astros, 4,     Boxscore,
, Boston Red Sox, 12, @,  Kansas City Royals, 2,     Boxscore,
, Boston Red Sox, 8, @,  Kansas City Royals, 7,     Boxscore,
, San Diego Padres, 5, @,  Los Angeles Dodgers, 0,     Boxscore,
,St. Louis Cardinals, 3, @,  Milwaukee Brewers, 5,     Boxscore,
,Cleveland Indians, 2, @,  Minnesota Twins, 4,     Boxscore,
,New York Mets, 3, @,  Montreal Expos, 6,     Boxscore,
,Toronto Blue Jays, 2, @,  New York Yankees, 9,     Boxscore,
,Anaheim Angels, 5, @,  Oakland Athletics, 6,     Boxscore,
,Philadelphia Phillies, 3, @,  Pittsburgh Pirates, 9,     Boxscore,
,Texas Rangers, 3, @,  Seattle Mariners, 5,     Boxscore,
,Baltimore Orioles, 1, @,  Tampa Bay Devil Rays, 2,     Boxscore,
, Florida Marlins, 8, @,  Atlanta Braves, 3,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 4,     Boxscore,
,Detroit Tigers, 0, @,  Kansas City Royals, 6,     Boxscore,
,Anaheim Angels, 5, @,  Seattle Mariners, 16,     Boxscore,
, Arizona D'Backs, 5, @,  Atlanta Braves, 2,     Boxscore,
,Boston Red Sox, 5, @,  Baltimore Orioles, 7,     Boxscore,
, San Francisco Giants, 12, @,  Chicago Cubs, 4,     Boxscore,
,Colorado Rockies, 2, @,  Cincinnati Reds, 3,     Boxscore,
, Chicago White Sox, 5, @,  Cleveland Indians, 1,     Boxscore,
,Houston Astros, 3, @,  Florida Marlins, 4,     Boxscore,
, Detroit Tigers, 3, @,  Kansas City Royals, 0,     Boxscore,
,Milwaukee Brewers, 4, @,  Montreal Expos, 5,     Boxscore,
,St. Louis Cardinals, 3, @,  New York Mets, 4,     Boxscore,
, New York Yankees, 2, @,  Oakland Athletics, 1,     Boxscore,
,San Diego Padres, 5, @,  Philadelphia Phillies, 8,     Boxscore,
, Los Angeles Dodgers, 9, @,  Pittsburgh Pirates, 6,     Boxscore,
,Anaheim Angels, 0, @,  Seattle Mariners, 1,     Boxscore,
,Minnesota Twins, 4, @,  Tampa Bay Devil Rays, 6,     Boxscore,
, Toronto Blue Jays, 2, @,  Texas Rangers, 1,     Boxscore,
,Arizona D'Backs, 3, @,  Atlanta Braves, 4,     Boxscore,
,Boston Red Sox, 3, @,  Baltimore Orioles, 5,     Boxscore,
,San Francisco Giants, 4, @,  Chicago Cubs, 10,     Boxscore,
,Colorado Rockies, 3, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 9, @,  Cleveland Indians, 2,     Boxscore,
, Houston Astros, 7, @,  Florida Marlins, 4,     Boxscore,
,Detroit Tigers, 2, @,  Kansas City Royals, 8,     Boxscore,
,Milwaukee Brewers, 4, @,  Montreal Expos, 5,     Boxscore,
, St. Louis Cardinals, 4, @,  New York Mets, 2,     Boxscore,
, New York Yankees, 8, @,  Oakland Athletics, 5,     Boxscore,
, San Diego Padres, 7, @,  Philadelphia Phillies, 2,     Boxscore,
, Los Angeles Dodgers, 5, @,  Pittsburgh Pirates, 1,     Boxscore,
, Anaheim Angels, 10, @,  Seattle Mariners, 6,     Boxscore,
,Minnesota Twins, 1, @,  Tampa Bay Devil Rays, 9,     Boxscore,
,Toronto Blue Jays, 2, @,  Texas Rangers, 3,     Boxscore,
, Arizona D'Backs, 11, @,  Atlanta Braves, 5,     Boxscore,
, Boston Red Sox, 7, @,  Baltimore Orioles, 0,     Boxscore,
,San Francisco Giants, 1, @,  Chicago Cubs, 2,     Boxscore,
,Colorado Rockies, 3, @,  Cincinnati Reds, 4,     Boxscore,
, Chicago White Sox, 6, @,  Cleveland Indians, 3,     Boxscore,
,Houston Astros, 4, @,  Florida Marlins, 5,     Boxscore,
,Milwaukee Brewers, 1, @,  Montreal Expos, 5,     Boxscore,
,St. Louis Cardinals, 6, @,  New York Mets, 7,     Boxscore,
,New York Yankees, 2, @,  Oakland Athletics, 6,     Boxscore,
, San Diego Padres, 6, @,  Philadelphia Phillies, 4,     Boxscore,
,Los Angeles Dodgers, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
, Minnesota Twins, 6, @,  Tampa Bay Devil Rays, 2,     Boxscore,
,Toronto Blue Jays, 9, @,  Texas Rangers, 11,     Boxscore,
,Toronto Blue Jays, 0, @,  Anaheim Angels, 4,     Boxscore,
,Houston Astros, 0, @,  Atlanta Braves, 9,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Boston Red Sox, 4,     Boxscore,
, Los Angeles Dodgers, 10, @,  Chicago Cubs, 0,     Boxscore,
,San Francisco Giants, 3, @,  Cincinnati Reds, 4,     Boxscore,
,Philadelphia Phillies, 1, @,  Colorado Rockies, 4,     Boxscore,
,Minnesota Twins, 2, @,  Detroit Tigers, 3,     Boxscore,
, Arizona D'Backs, 5, @,  Florida Marlins, 3,     Boxscore,
, Baltimore Orioles, 10, @,  Kansas City Royals, 5,     Boxscore,
, St. Louis Cardinals, 7, @,  Montreal Expos, 6,     Boxscore,
,Milwaukee Brewers, 0, @,  New York Mets, 1,     Boxscore,
,Chicago White Sox, 4, @,  Oakland Athletics, 6,     Boxscore,
, San Diego Padres, 10, @,  Pittsburgh Pirates, 1,     Boxscore,
, New York Yankees, 7, @,  Seattle Mariners, 1,     Boxscore,
, Cleveland Indians, 7, @,  Texas Rangers, 4,     Boxscore,
,Toronto Blue Jays, 4, @,  Anaheim Angels, 11,     Boxscore,
, Houston Astros, 6, @,  Atlanta Braves, 3,     Boxscore,
,Tampa Bay Devil Rays, 0, @,  Boston Red Sox, 10,     Boxscore,
,San Francisco Giants, 4, @,  Cincinnati Reds, 8,     Boxscore,
,Philadelphia Phillies, 6, @,  Colorado Rockies, 8,     Boxscore,
,Minnesota Twins, 1, @,  Detroit Tigers, 5,     Boxscore,
,Arizona D'Backs, 3, @,  Florida Marlins, 6,     Boxscore,
, Baltimore Orioles, 9, @,  Kansas City Royals, 4,     Boxscore,
, St. Louis Cardinals, 5, @,  Montreal Expos, 0,     Boxscore,
,Milwaukee Brewers, 1, @,  New York Mets, 2,     Boxscore,
,Chicago White Sox, 1, @,  Oakland Athletics, 16,     Boxscore,
,New York Yankees, 0, @,  Seattle Mariners, 1,     Boxscore,
,Cleveland Indians, 2, @,  Texas Rangers, 4,     Boxscore,
,Toronto Blue Jays, 5, @,  Anaheim Angels, 8,     Boxscore,
, Houston Astros, 7, @,  Atlanta Braves, 1,     Boxscore,
, Los Angeles Dodgers, 5, @,  Chicago Cubs, 4,     Boxscore,
, Los Angeles Dodgers, 4, @,  Chicago Cubs, 1,     Boxscore,
, San Francisco Giants, 5, @,  Cincinnati Reds, 4,     Boxscore,
,Philadelphia Phillies, 2, @,  Colorado Rockies, 4,     Boxscore,
,Minnesota Twins, 4, @,  Detroit Tigers, 5,     Boxscore,
, Arizona D'Backs, 5, @,  Florida Marlins, 4,     Boxscore,
, Baltimore Orioles, 13, @,  Kansas City Royals, 0,     Boxscore,
,St. Louis Cardinals, 2, @,  Montreal Expos, 5,     Boxscore,
,Milwaukee Brewers, 6, @,  New York Mets, 9,     Boxscore,
,Chicago White Sox, 0, @,  Oakland Athletics, 10,     Boxscore,
,San Diego Padres, 2, @,  Pittsburgh Pirates, 3,     Boxscore,
, San Diego Padres, 7, @,  Pittsburgh Pirates, 2,     Boxscore,
, New York Yankees, 4, @,  Seattle Mariners, 3,     Boxscore,
,Cleveland Indians, 1, @,  Texas Rangers, 2,     Boxscore,
, Baltimore Orioles, 5, @,  Boston Red Sox, 3,     Boxscore,
, Kansas City Royals, 4, @,  Detroit Tigers, 0,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Minnesota Twins, 3,     Boxscore,
,Philadelphia Phillies, 5, @,  San Francisco Giants, 8,     Boxscore,
, New York Mets, 10, @,  Arizona D'Backs, 1,     Boxscore,
,Baltimore Orioles, 0, @,  Boston Red Sox, 4,     Boxscore,
,Seattle Mariners, 4, @,  Chicago White Sox, 8,     Boxscore,
, Anaheim Angels, 21, @,  Cleveland Indians, 2,     Boxscore,
,Pittsburgh Pirates, 0, @,  Colorado Rockies, 10,     Boxscore,
,Kansas City Royals, 3, @,  Detroit Tigers, 9,     Boxscore,
, Montreal Expos, 5, @,  Houston Astros, 1,     Boxscore,
, Cincinnati Reds, 3, @,  Los Angeles Dodgers, 1,     Boxscore,
,Atlanta Braves, 3, @,  Milwaukee Brewers, 4,     Boxscore,
,Tampa Bay Devil Rays, 3, @,  Minnesota Twins, 6,     Boxscore,
,Oakland Athletics, 2, @,  New York Yankees, 8,     Boxscore,
,Chicago Cubs, 1, @,  San Diego Padres, 2,     Boxscore,
, Philadelphia Phillies, 8, @,  San Francisco Giants, 2,     Boxscore,
