, Oakland Athletics, 6, @,  Tampa Bay Devil Rays, 1,     Boxscore,
,Boston Red Sox, 3, @,  Toronto Blue Jays, 4,     Boxscore,
,Colorado Rockies, 0, @,  Arizona D'Backs, 2,     Boxscore,
,Washington Nationals, 2, @,  Atlanta Braves, 11,     Boxscore,
,New York Yankees, 1, @,  Boston Red Sox, 8,     Boxscore,
, San Diego Padres, 1, @,  Chicago Cubs, 0,     Boxscore,
, Chicago White Sox, 2, @,  Cleveland Indians, 1,     Boxscore,
, Philadelphia Phillies, 4, @,  Florida Marlins, 1,     Boxscore,
, Seattle Mariners, 8, @,  Kansas City Royals, 2,     Boxscore,
,Pittsburgh Pirates, 2, @,  Milwaukee Brewers, 6,     Boxscore,
,Houston Astros, 4, @,  New York Mets, 8,     Boxscore,
, Toronto Blue Jays, 10, @,  Oakland Athletics, 3,     Boxscore,
, LA Angels of Anaheim, 7, @,  Texas Rangers, 6,     Boxscore,
,Colorado Rockies, 2, @,  Arizona D'Backs, 4,     Boxscore,
, Washington Nationals, 4, @,  Atlanta Braves, 3,     Boxscore,
,Philadelphia Phillies, 2, @,  Florida Marlins, 8,     Boxscore,
,San Francisco Giants, 8, @,  Los Angeles Dodgers, 9,     Boxscore,
, Pittsburgh Pirates, 4, @,  Milwaukee Brewers, 2,     Boxscore,
,Detroit Tigers, 4, @,  Minnesota Twins, 5,     Boxscore,
, Toronto Blue Jays, 5, @,  Oakland Athletics, 2,     Boxscore,
,Cincinnati Reds, 1, @,  St. Louis Cardinals, 5,     Boxscore,
, Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 6,     Boxscore,
, LA Angels of Anaheim, 13, @,  Texas Rangers, 8,     Boxscore,
,Colorado Rockies, 2, @,  Arizona D'Backs, 5,     Boxscore,
, Washington Nationals, 11, @,  Atlanta Braves, 4,     Boxscore,
, New York Yankees, 5, @,  Boston Red Sox, 2,     Boxscore,
, San Diego Padres, 8, @,  Chicago Cubs, 3,     Boxscore,
,San Diego Padres, 3, @,  Chicago Cubs, 8,     Boxscore,
, Chicago White Sox, 5, @,  Cleveland Indians, 4,     Boxscore,
,Philadelphia Phillies, 0, @,  Florida Marlins, 4,     Boxscore,
, Seattle Mariners, 2, @,  Kansas City Royals, 1,     Boxscore,
,San Francisco Giants, 1, @,  Los Angeles Dodgers, 4,     Boxscore,
,Pittsburgh Pirates, 2, @,  Milwaukee Brewers, 6,     Boxscore,
,Detroit Tigers, 4, @,  Minnesota Twins, 8,     Boxscore,
,Houston Astros, 0, @,  New York Mets, 1,     Boxscore,
,Toronto Blue Jays, 3, @,  Oakland Athletics, 6,     Boxscore,
, Cincinnati Reds, 6, @,  St. Louis Cardinals, 5,     Boxscore,
, Baltimore Orioles, 5, @,  Tampa Bay Devil Rays, 1,     Boxscore,
,LA Angels of Anaheim, 5, @,  Texas Rangers, 7,     Boxscore,
,New York Yankees, 5, @,  Boston Red Sox, 8,     Boxscore,
,Chicago White Sox, 6, @,  Cleveland Indians, 8,     Boxscore,
, Seattle Mariners, 10, @,  Kansas City Royals, 2,     Boxscore,
