game,r_squared
1,0.178795277155
2,0.221264271366
3,0.223675811995
4,0.270483690435
5,0.294022932801
6,0.315573513413
7,0.368366733041
8,0.360345958482
9,0.393656594773
10,0.403488840085
11,0.388250475967
12,0.394040129357
13,0.418565649561
14,0.438546536138
15,0.445280982928
16,0.478746372215
17,0.480358798177
18,0.481142236397
19,0.482291513728
20,0.49276708397
21,0.49527278879
22,0.5213590884
23,0.523908487942
24,0.5425043866
25,0.552137479057
26,0.56681701018
27,0.565694161598
28,0.576074863234
29,0.572643153327
30,0.579742503464
31,0.583408996199
32,0.601107530773
33,0.606249965332
34,0.618428056312
35,0.621024284292
36,0.619824170982
37,0.619969324422
38,0.636384899965
39,0.624830281303
40,0.632715735624
41,0.637370017054
42,0.64666569954
43,0.649868703575
44,0.646523028349
45,0.656029913542
46,0.670259177657
47,0.672838921304
48,0.68468932627
49,0.686546336177
50,0.687538068048
51,0.693770555806
52,0.699039915559
53,0.704992882594
54,0.712516578307
55,0.71519152925
56,0.715694908726
57,0.730449816842
58,0.739745894577
59,0.749218210751
60,0.752383701738
61,0.759252388655
62,0.76650260773
63,0.776139348171
64,0.780958884521
65,0.783240137976
66,0.784280850962
67,0.789862251709
68,0.793021101932
69,0.799056872892
70,0.797124311858
71,0.799515891811
72,0.803263924119
73,0.810582738224
74,0.812228355934
75,0.81399093651
76,0.812655148787
77,0.811636544693
78,0.811156243796
79,0.817351782116
80,0.81779823081
81,0.818607579637
82,0.827170368496
83,0.833432044399
84,0.838744666424
85,0.840926058693
86,0.844088461434
87,0.849576049674
88,0.854475027903
89,0.856230188699
90,0.86001389343
91,0.861591190764
92,0.865767262561
93,0.865503987473
94,0.864678190334
95,0.868396728349
96,0.87228894369
97,0.875203558172
98,0.881683541164
99,0.882212532842
100,0.88263958926
101,0.888783894647
102,0.891263011476
103,0.893280489943
104,0.896138493307
105,0.899517693659
106,0.90309750484
107,0.904986112442
108,0.909102799225
109,0.913902965804
110,0.915852030724
111,0.920805636543
112,0.922592179628
113,0.9258834512
114,0.925824303703
115,0.927278469881
116,0.926725427182
117,0.929730103898
118,0.931448838777
119,0.932911615011
120,0.936159156298
121,0.936532197882
122,0.936873614737
123,0.941281378952
124,0.942427793416
125,0.943863758577
126,0.944499930441
127,0.944128065945
128,0.943387772877
129,0.947770479577
130,0.949600000832
131,0.952780846175
132,0.954015585719
133,0.957823684295
134,0.95764601439
135,0.959093259047
136,0.961765754118
137,0.962620399924
138,0.966957263881
139,0.968467690938
140,0.970314179696
141,0.971275548369
142,0.971379109899
143,0.973448284064
144,0.974789115086
145,0.975962611274
146,0.974484468218
147,0.975943929449
148,0.976338618407
149,0.979082655949
150,0.98003332422
151,0.981647285315
152,0.984195443405
153,0.986465056298
154,0.986328671171
155,0.987227751873
156,0.987564036525
157,0.989017094181
158,0.990238795946
159,0.992112431121
160,0.994261996183
161,0.997568884102
162,1.0
