,Texas Rangers, 4, @,  Detroit Tigers, 6,     Boxscore,
,New York Mets, 1, @,  Florida Marlins, 2,     Boxscore,
,New York Yankees, 4, @,  Kansas City Royals, 6,     Boxscore,
, Chicago Cubs, 8, @,  Milwaukee Brewers, 5,     Boxscore,
, Seattle Mariners, 1, @,  Oakland Athletics, 0,     Boxscore,
,San Francisco Giants, 1, @,  San Diego Padres, 6,     Boxscore,
,Houston Astros, 0, @,  St. Louis Cardinals, 3,     Boxscore,
, St. Louis Cardinals, 2, @,  Arizona D'Backs, 1,     Boxscore,
,Colorado Rockies, 0, @,  Chicago Cubs, 4,     Boxscore,
, Chicago White Sox, 10, @,  Detroit Tigers, 6,     Boxscore,
,Cleveland Indians, 2, @,  Kansas City Royals, 4,     Boxscore,
,San Francisco Giants, 1, @,  Los Angeles Dodgers, 11,     Boxscore,
, Cincinnati Reds, 7, @,  Milwaukee Brewers, 6,     Boxscore,
, Toronto Blue Jays, 8, @,  Minnesota Twins, 6,     Boxscore,
, San Diego Padres, 6, @,  New York Mets, 5,     Boxscore,
,Boston Red Sox, 2, @,  Oakland Athletics, 8,     Boxscore,
,Houston Astros, 0, @,  Pittsburgh Pirates, 7,     Boxscore,
,New York Yankees, 5, @,  Tampa Bay Rays, 15,     Boxscore,
, Baltimore Orioles, 10, @,  Texas Rangers, 9,     Boxscore,
, Philadelphia Phillies, 9, @,  Washington Nationals, 8,     Boxscore,
,St. Louis Cardinals, 6, @,  Arizona D'Backs, 7,     Boxscore,
, Florida Marlins, 5, @,  Atlanta Braves, 1,     Boxscore,
,Cleveland Indians, 3, @,  Kansas City Royals, 9,     Boxscore,
, Cincinnati Reds, 6, @,  Milwaukee Brewers, 1,     Boxscore,
,Toronto Blue Jays, 2, @,  Minnesota Twins, 3,     Boxscore,
,Boston Red Sox, 5, @,  Oakland Athletics, 6,     Boxscore,
,LA Angels of Anaheim, 2, @,  Seattle Mariners, 3,     Boxscore,
, New York Yankees, 7, @,  Tampa Bay Rays, 2,     Boxscore,
, Baltimore Orioles, 7, @,  Texas Rangers, 5,     Boxscore,
, St. Louis Cardinals, 12, @,  Arizona D'Backs, 7,     Boxscore,
, Florida Marlins, 10, @,  Atlanta Braves, 4,     Boxscore,
, Colorado Rockies, 5, @,  Chicago Cubs, 2,     Boxscore,
,Chicago White Sox, 0, @,  Detroit Tigers, 9,     Boxscore,
, Cleveland Indians, 5, @,  Kansas City Royals, 4,     Boxscore,
,San Francisco Giants, 4, @,  Los Angeles Dodgers, 5,     Boxscore,
,Cincinnati Reds, 3, @,  Milwaukee Brewers, 9,     Boxscore,
, Toronto Blue Jays, 12, @,  Minnesota Twins, 2,     Boxscore,
,San Diego Padres, 2, @,  New York Mets, 7,     Boxscore,
, Boston Red Sox, 8, @,  Oakland Athletics, 2,     Boxscore,
, Houston Astros, 4, @,  Pittsburgh Pirates, 1,     Boxscore,
,LA Angels of Anaheim, 3, @,  Seattle Mariners, 11,     Boxscore,
, New York Yankees, 4, @,  Tampa Bay Rays, 3,     Boxscore,
,Baltimore Orioles, 6, @,  Texas Rangers, 19,     Boxscore,
, Florida Marlins, 6, @,  Atlanta Braves, 2,     Boxscore,
, St. Louis Cardinals, 7, @,  Chicago Cubs, 4,     Boxscore,
,San Francisco Giants, 2, @,  Los Angeles Dodgers, 7,     Boxscore,
, Toronto Blue Jays, 9, @,  Minnesota Twins, 2,     Boxscore,
, Cleveland Indians, 10, @,  New York Yankees, 2,     Boxscore,
, San Diego Padres, 6, @,  New York Mets, 5,     Boxscore,
, Houston Astros, 6, @,  Pittsburgh Pirates, 3,     Boxscore,
, LA Angels of Anaheim, 5, @,  Seattle Mariners, 1,     Boxscore,
, Chicago White Sox, 3, @,  Tampa Bay Rays, 2,     Boxscore,
,Philadelphia Phillies, 2, @,  Washington Nationals, 8,     Boxscore,
,Baltimore Orioles, 8, @,  Boston Red Sox, 10,     Boxscore,
,St. Louis Cardinals, 7, @,  Chicago Cubs, 8,     Boxscore,
, Cincinnati Reds, 2, @,  Houston Astros, 1,     Boxscore,
,Colorado Rockies, 3, @,  Los Angeles Dodgers, 4,     Boxscore,
,LA Angels of Anaheim, 9, @,  Minnesota Twins, 11,     Boxscore,
,Cleveland Indians, 5, @,  New York Yankees, 6,     Boxscore,
,Milwaukee Brewers, 4, @,  New York Mets, 5,     Boxscore,
, San Diego Padres, 8, @,  Philadelphia Phillies, 7,     Boxscore,
,Atlanta Braves, 0, @,  Pittsburgh Pirates, 3,     Boxscore,
,Detroit Tigers, 3, @,  Seattle Mariners, 6,     Boxscore,
,Arizona D'Backs, 0, @,  San Francisco Giants, 2,     Boxscore,
,Chicago White Sox, 5, @,  Tampa Bay Rays, 6,     Boxscore,
, Kansas City Royals, 12, @,  Texas Rangers, 3,     Boxscore,
, Oakland Athletics, 8, @,  Toronto Blue Jays, 5,     Boxscore,
, Florida Marlins, 3, @,  Washington Nationals, 2,     Boxscore,
,Baltimore Orioles, 4, @,  Boston Red Sox, 6,     Boxscore,
,St. Louis Cardinals, 5, @,  Chicago Cubs, 7,     Boxscore,
,Cincinnati Reds, 0, @,  Houston Astros, 7,     Boxscore,
,Colorado Rockies, 5, @,  Los Angeles Dodgers, 9,     Boxscore,
,LA Angels of Anaheim, 2, @,  Minnesota Twins, 9,     Boxscore,
, Cleveland Indians, 22, @,  New York Yankees, 4,     Boxscore,
,Milwaukee Brewers, 0, @,  New York Mets, 1,     Boxscore,
, San Diego Padres, 8, @,  Philadelphia Phillies, 5,     Boxscore,
,Atlanta Braves, 0, @,  Pittsburgh Pirates, 10,     Boxscore,
, Detroit Tigers, 2, @,  Seattle Mariners, 0,     Boxscore,
, Arizona D'Backs, 2, @,  San Francisco Giants, 0,     Boxscore,
, Chicago White Sox, 8, @,  Tampa Bay Rays, 3,     Boxscore,
, Kansas City Royals, 2, @,  Texas Rangers, 0,     Boxscore,
,Oakland Athletics, 2, @,  Toronto Blue Jays, 4,     Boxscore,
, Florida Marlins, 9, @,  Washington Nationals, 6,     Boxscore,
,Baltimore Orioles, 1, @,  Boston Red Sox, 2,     Boxscore,
, Cincinnati Reds, 4, @,  Houston Astros, 2,     Boxscore,
,Colorado Rockies, 2, @,  Los Angeles Dodgers, 14,     Boxscore,
,LA Angels of Anaheim, 1, @,  Minnesota Twins, 3,     Boxscore,
,Cleveland Indians, 3, @,  New York Yankees, 7,     Boxscore,
, Milwaukee Brewers, 4, @,  New York Mets, 2,     Boxscore,
,San Diego Padres, 4, @,  Philadelphia Phillies, 5,     Boxscore,
, Atlanta Braves, 11, @,  Pittsburgh Pirates, 1,     Boxscore,
, Detroit Tigers, 8, @,  Seattle Mariners, 2,     Boxscore,
,Arizona D'Backs, 0, @,  San Francisco Giants, 2,     Boxscore,
