, Boston Red Sox, 8, @,  Kansas City Royals, 6,     Boxscore,
,St. Louis Cardinals, 7, @,  Milwaukee Brewers, 8,     Boxscore,
, Washington Nationals, 5, @,  New York Mets, 2,     Boxscore,
,Atlanta Braves, 3, @,  San Francisco Giants, 6,     Boxscore,
, New York Yankees, 7, @,  Tampa Bay Rays, 3,     Boxscore,
,Seattle Mariners, 2, @,  Texas Rangers, 9,     Boxscore,
, Tampa Bay Rays, 5, @,  Baltimore Orioles, 1,     Boxscore,
,Milwaukee Brewers, 5, @,  Chicago Cubs, 9,     Boxscore,
, Texas Rangers, 4, @,  Cleveland Indians, 2,     Boxscore,
, Kansas City Royals, 10, @,  Detroit Tigers, 5,     Boxscore,
, Cincinnati Reds, 6, @,  Florida Marlins, 5,     Boxscore,
,Boston Red Sox, 2, @,  Minnesota Twins, 5,     Boxscore,
,Washington Nationals, 4, @,  Philadelphia Phillies, 7,     Boxscore,
,Atlanta Braves, 2, @,  San Diego Padres, 17,     Boxscore,
, Oakland Athletics, 4, @,  Seattle Mariners, 0,     Boxscore,
,Pittsburgh Pirates, 3, @,  San Francisco Giants, 9,     Boxscore,
,Houston Astros, 0, @,  St. Louis Cardinals, 5,     Boxscore,
, Chicago White Sox, 8, @,  Toronto Blue Jays, 7,     Boxscore,
, Tampa Bay Rays, 8, @,  Baltimore Orioles, 6,     Boxscore,
,New York Mets, 3, @,  Colorado Rockies, 11,     Boxscore,
,Kansas City Royals, 5, @,  Detroit Tigers, 6,     Boxscore,
, Cincinnati Reds, 10, @,  Florida Marlins, 8,     Boxscore,
,Arizona D'Backs, 5, @,  Los Angeles Dodgers, 9,     Boxscore,
,LA Angels of Anaheim, 5, @,  New York Yankees, 7,     Boxscore,
,Oakland Athletics, 0, @,  Seattle Mariners, 3,     Boxscore,
, Pittsburgh Pirates, 6, @,  San Francisco Giants, 5,     Boxscore,
,Chicago White Sox, 2, @,  Toronto Blue Jays, 4,     Boxscore,
, Tampa Bay Rays, 9, @,  Baltimore Orioles, 1,     Boxscore,
,Milwaukee Brewers, 6, @,  Chicago Cubs, 7,     Boxscore,
, Texas Rangers, 6, @,  Cleveland Indians, 2,     Boxscore,
,New York Mets, 5, @,  Colorado Rockies, 6,     Boxscore,
, Kansas City Royals, 7, @,  Detroit Tigers, 3,     Boxscore,
,Cincinnati Reds, 3, @,  Florida Marlins, 5,     Boxscore,
, Arizona D'Backs, 9, @,  Los Angeles Dodgers, 7,     Boxscore,
, Boston Red Sox, 6, @,  Minnesota Twins, 3,     Boxscore,
, LA Angels of Anaheim, 5, @,  New York Yankees, 3,     Boxscore,
,Washington Nationals, 7, @,  Philadelphia Phillies, 14,     Boxscore,
, Atlanta Braves, 6, @,  San Diego Padres, 1,     Boxscore,
,Oakland Athletics, 2, @,  Seattle Mariners, 4,     Boxscore,
,Pittsburgh Pirates, 0, @,  San Francisco Giants, 6,     Boxscore,
,Houston Astros, 1, @,  St. Louis Cardinals, 2,     Boxscore,
, Chicago White Sox, 11, @,  Toronto Blue Jays, 1,     Boxscore,
, Milwaukee Brewers, 8, @,  Chicago Cubs, 6,     Boxscore,
,Texas Rangers, 2, @,  Cleveland Indians, 3,     Boxscore,
, New York Mets, 5, @,  Colorado Rockies, 0,     Boxscore,
,Cincinnati Reds, 2, @,  Florida Marlins, 10,     Boxscore,
,Arizona D'Backs, 5, @,  Los Angeles Dodgers, 6,     Boxscore,
,Boston Red Sox, 0, @,  Minnesota Twins, 8,     Boxscore,
,LA Angels of Anaheim, 2, @,  New York Yankees, 6,     Boxscore,
,Baltimore Orioles, 2, @,  Oakland Athletics, 6,     Boxscore,
, Washington Nationals, 7, @,  Philadelphia Phillies, 5,     Boxscore,
, Atlanta Braves, 6, @,  San Diego Padres, 2,     Boxscore,
, Houston Astros, 5, @,  St. Louis Cardinals, 1,     Boxscore,
,Chicago White Sox, 3, @,  Toronto Blue Jays, 7,     Boxscore,
,Colorado Rockies, 5, @,  Atlanta Braves, 9,     Boxscore,
, Tampa Bay Rays, 3, @,  Boston Red Sox, 1,     Boxscore,
,Houston Astros, 2, @,  Chicago Cubs, 7,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 6,     Boxscore,
,San Francisco Giants, 8, @,  Los Angeles Dodgers, 10,     Boxscore,
,Kansas City Royals, 3, @,  Minnesota Twins, 10,     Boxscore,
,Texas Rangers, 1, @,  New York Yankees, 5,     Boxscore,
,Baltimore Orioles, 2, @,  Oakland Athletics, 4,     Boxscore,
,Florida Marlins, 6, @,  Philadelphia Phillies, 8,     Boxscore,
,Cincinnati Reds, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,Arizona D'Backs, 3, @,  San Diego Padres, 6,     Boxscore,
,Detroit Tigers, 3, @,  Seattle Mariners, 11,     Boxscore,
,New York Mets, 3, @,  St. Louis Cardinals, 4,     Boxscore,
, LA Angels of Anaheim, 7, @,  Toronto Blue Jays, 5,     Boxscore,
,Milwaukee Brewers, 3, @,  Washington Nationals, 5,     Boxscore,
, Colorado Rockies, 4, @,  Atlanta Braves, 0,     Boxscore,
, Tampa Bay Rays, 6, @,  Boston Red Sox, 5,     Boxscore,
, Houston Astros, 4, @,  Chicago Cubs, 3,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 3,     Boxscore,
, San Francisco Giants, 9, @,  Los Angeles Dodgers, 0,     Boxscore,
,Kansas City Royals, 5, @,  Minnesota Twins, 6,     Boxscore,
,Texas Rangers, 3, @,  New York Yankees, 7,     Boxscore,
,Baltimore Orioles, 3, @,  Oakland Athletics, 4,     Boxscore,
, Florida Marlins, 5, @,  Philadelphia Phillies, 1,     Boxscore,
,Cincinnati Reds, 4, @,  Pittsburgh Pirates, 5,     Boxscore,
,Arizona D'Backs, 0, @,  San Diego Padres, 5,     Boxscore,
,Detroit Tigers, 2, @,  Seattle Mariners, 4,     Boxscore,
, New York Mets, 2, @,  St. Louis Cardinals, 1,     Boxscore,
, LA Angels of Anaheim, 6, @,  Toronto Blue Jays, 3,     Boxscore,
,Milwaukee Brewers, 0, @,  Washington Nationals, 8,     Boxscore,
,Colorado Rockies, 3, @,  Atlanta Braves, 4,     Boxscore,
, Tampa Bay Rays, 7, @,  Boston Red Sox, 1,     Boxscore,
, Houston Astros, 3, @,  Chicago Cubs, 2,     Boxscore,
,Chicago White Sox, 4, @,  Cleveland Indians, 7,     Boxscore,
,San Francisco Giants, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
, Kansas City Royals, 10, @,  Minnesota Twins, 5,     Boxscore,
,Texas Rangers, 2, @,  New York Yankees, 5,     Boxscore,
, Baltimore Orioles, 8, @,  Oakland Athletics, 3,     Boxscore,
, Florida Marlins, 2, @,  Philadelphia Phillies, 0,     Boxscore,
,Cincinnati Reds, 3, @,  Pittsburgh Pirates, 5,     Boxscore,
,Arizona D'Backs, 3, @,  San Diego Padres, 5,     Boxscore,
, Detroit Tigers, 4, @,  Seattle Mariners, 2,     Boxscore,
,New York Mets, 3, @,  St. Louis Cardinals, 5,     Boxscore,
, LA Angels of Anaheim, 3, @,  Toronto Blue Jays, 1,     Boxscore,
, Milwaukee Brewers, 11, @,  Washington Nationals, 7,     Boxscore,
,Detroit Tigers, 0, @,  LA Angels of Anaheim, 2,     Boxscore,
, St. Louis Cardinals, 4, @,  Arizona D'Backs, 2,     Boxscore,
, Tampa Bay Rays, 8, @,  Boston Red Sox, 2,     Boxscore,
,Chicago Cubs, 1, @,  New York Mets, 6,     Boxscore,
,San Francisco Giants, 2, @,  San Diego Padres, 3,     Boxscore,
,Baltimore Orioles, 2, @,  Seattle Mariners, 8,     Boxscore,
,Kansas City Royals, 1, @,  Toronto Blue Jays, 8,     Boxscore,
,Colorado Rockies, 2, @,  Washington Nationals, 5,     Boxscore,
,Detroit Tigers, 5, @,  LA Angels of Anaheim, 6,     Boxscore,
,St. Louis Cardinals, 7, @,  Arizona D'Backs, 9,     Boxscore,
,Philadelphia Phillies, 3, @,  Atlanta Braves, 4,     Boxscore,
,Texas Rangers, 6, @,  Boston Red Sox, 7,     Boxscore,
,Tampa Bay Rays, 1, @,  Chicago White Sox, 4,     Boxscore,
,Los Angeles Dodgers, 9, @,  Cincinnati Reds, 11,     Boxscore,
,Florida Marlins, 5, @,  Houston Astros, 7,     Boxscore,
,Cleveland Indians, 1, @,  Minnesota Twins, 5,     Boxscore,
,Chicago Cubs, 0, @,  New York Mets, 4,     Boxscore,
, New York Yankees, 7, @,  Oakland Athletics, 3,     Boxscore,
, Milwaukee Brewers, 8, @,  Pittsburgh Pirates, 1,     Boxscore,
,San Francisco Giants, 0, @,  San Diego Padres, 1,     Boxscore,
,Baltimore Orioles, 1, @,  Seattle Mariners, 3,     Boxscore,
,Kansas City Royals, 3, @,  Toronto Blue Jays, 4,     Boxscore,
, Colorado Rockies, 10, @,  Washington Nationals, 4,     Boxscore,
, Detroit Tigers, 4, @,  LA Angels of Anaheim, 3,     Boxscore,
, St. Louis Cardinals, 9, @,  Arizona D'Backs, 4,     Boxscore,
, Philadelphia Phillies, 2, @,  Atlanta Braves, 0,     Boxscore,
,Texas Rangers, 7, @,  Boston Red Sox, 8,     Boxscore,
, Tampa Bay Rays, 12, @,  Chicago White Sox, 0,     Boxscore,
, Los Angeles Dodgers, 14, @,  Cincinnati Reds, 6,     Boxscore,
,Florida Marlins, 4, @,  Houston Astros, 5,     Boxscore,
,Cleveland Indians, 0, @,  Minnesota Twins, 6,     Boxscore,
, Chicago Cubs, 9, @,  New York Mets, 3,     Boxscore,
, New York Yankees, 3, @,  Oakland Athletics, 1,     Boxscore,
, Milwaukee Brewers, 8, @,  Pittsburgh Pirates, 0,     Boxscore,
,San Francisco Giants, 2, @,  San Diego Padres, 5,     Boxscore,
,Baltimore Orioles, 1, @,  Seattle Mariners, 4,     Boxscore,
, Kansas City Royals, 4, @,  Toronto Blue Jays, 3,     Boxscore,
,Colorado Rockies, 4, @,  Washington Nationals, 6,     Boxscore,
, Detroit Tigers, 5, @,  LA Angels of Anaheim, 4,     Boxscore,
, Philadelphia Phillies, 8, @,  Atlanta Braves, 3,     Boxscore,
, Texas Rangers, 3, @,  Boston Red Sox, 0,     Boxscore,
, Tampa Bay Rays, 10, @,  Chicago White Sox, 2,     Boxscore,
,Los Angeles Dodgers, 5, @,  Cincinnati Reds, 8,     Boxscore,
, Florida Marlins, 5, @,  Houston Astros, 1,     Boxscore,
, Cleveland Indians, 8, @,  Minnesota Twins, 1,     Boxscore,
,Chicago Cubs, 2, @,  New York Mets, 5,     Boxscore,
,New York Yankees, 2, @,  Oakland Athletics, 4,     Boxscore,
, Milwaukee Brewers, 20, @,  Pittsburgh Pirates, 0,     Boxscore,
, Colorado Rockies, 2, @,  Washington Nationals, 0,     Boxscore,
,New York Yankees, 4, @,  LA Angels of Anaheim, 6,     Boxscore,
,Philadelphia Phillies, 4, @,  Arizona D'Backs, 7,     Boxscore,
,Baltimore Orioles, 3, @,  Boston Red Sox, 4,     Boxscore,
,Seattle Mariners, 6, @,  Chicago White Sox, 7,     Boxscore,
, San Diego Padres, 10, @,  Cincinnati Reds, 4,     Boxscore,
,Pittsburgh Pirates, 3, @,  Houston Astros, 4,     Boxscore,
, Minnesota Twins, 8, @,  Kansas City Royals, 3,     Boxscore,
, Chicago Cubs, 8, @,  Milwaukee Brewers, 1,     Boxscore,
,Atlanta Braves, 2, @,  New York Mets, 5,     Boxscore,
,Cleveland Indians, 0, @,  Oakland Athletics, 10,     Boxscore,
,St. Louis Cardinals, 1, @,  San Francisco Giants, 4,     Boxscore,
, Toronto Blue Jays, 6, @,  Tampa Bay Rays, 5,     Boxscore,
,Detroit Tigers, 4, @,  Texas Rangers, 5,     Boxscore,
,Los Angeles Dodgers, 1, @,  Washington Nationals, 5,     Boxscore,
, New York Yankees, 7, @,  LA Angels of Anaheim, 1,     Boxscore,
, Philadelphia Phillies, 3, @,  Arizona D'Backs, 2,     Boxscore,
,Baltimore Orioles, 6, @,  Boston Red Sox, 7,     Boxscore,
,Seattle Mariners, 4, @,  Chicago White Sox, 5,     Boxscore,
, San Diego Padres, 5, @,  Cincinnati Reds, 0,     Boxscore,
, Florida Marlins, 4, @,  Colorado Rockies, 1,     Boxscore,
,Florida Marlins, 1, @,  Colorado Rockies, 8,     Boxscore,
,Pittsburgh Pirates, 2, @,  Houston Astros, 5,     Boxscore,
, Minnesota Twins, 9, @,  Kansas City Royals, 7,     Boxscore,
, Chicago Cubs, 5, @,  Milwaukee Brewers, 1,     Boxscore,
,Atlanta Braves, 1, @,  New York Mets, 3,     Boxscore,
, Cleveland Indians, 6, @,  Oakland Athletics, 1,     Boxscore,
,St. Louis Cardinals, 0, @,  San Francisco Giants, 2,     Boxscore,
,Toronto Blue Jays, 3, @,  Tampa Bay Rays, 9,     Boxscore,
, Detroit Tigers, 8, @,  Texas Rangers, 4,     Boxscore,
, Los Angeles Dodgers, 4, @,  Washington Nationals, 3,     Boxscore,
,New York Yankees, 4, @,  LA Angels of Anaheim, 8,     Boxscore,
,Philadelphia Phillies, 6, @,  Arizona D'Backs, 8,     Boxscore,
, Baltimore Orioles, 7, @,  Boston Red Sox, 6,     Boxscore,
,Seattle Mariners, 2, @,  Chicago White Sox, 3,     Boxscore,
,San Diego Padres, 4, @,  Cincinnati Reds, 5,     Boxscore,
,Florida Marlins, 4, @,  Colorado Rockies, 8,     Boxscore,
,Pittsburgh Pirates, 3, @,  Houston Astros, 10,     Boxscore,
,Minnesota Twins, 3, @,  Kansas City Royals, 4,     Boxscore,
, Chicago Cubs, 12, @,  Milwaukee Brewers, 2,     Boxscore,
,Atlanta Braves, 0, @,  New York Mets, 1,     Boxscore,
,Cleveland Indians, 0, @,  Oakland Athletics, 11,     Boxscore,
, St. Louis Cardinals, 2, @,  San Francisco Giants, 0,     Boxscore,
,Toronto Blue Jays, 0, @,  Tampa Bay Rays, 6,     Boxscore,
,Detroit Tigers, 4, @,  Texas Rangers, 8,     Boxscore,
,Los Angeles Dodgers, 0, @,  Washington Nationals, 1,     Boxscore,
,Cleveland Indians, 2, @,  LA Angels of Anaheim, 5,     Boxscore,
,Washington Nationals, 3, @,  Chicago Cubs, 4,     Boxscore,
, Arizona D'Backs, 5, @,  Colorado Rockies, 3,     Boxscore,
,San Diego Padres, 1, @,  Florida Marlins, 10,     Boxscore,
,Seattle Mariners, 1, @,  Kansas City Royals, 3,     Boxscore,
,Pittsburgh Pirates, 3, @,  Milwaukee Brewers, 17,     Boxscore,
,Philadelphia Phillies, 1, @,  San Francisco Giants, 5,     Boxscore,
,Atlanta Braves, 3, @,  St. Louis Cardinals, 4,     Boxscore,
, Detroit Tigers, 8, @,  Texas Rangers, 6,     Boxscore,
, Boston Red Sox, 13, @,  Toronto Blue Jays, 12,     Boxscore,
, Cleveland Indians, 9, @,  LA Angels of Anaheim, 2,     Boxscore,
,New York Yankees, 4, @,  Baltimore Orioles, 5,     Boxscore,
, Washington Nationals, 3, @,  Chicago Cubs, 1,     Boxscore,
,Arizona D'Backs, 1, @,  Colorado Rockies, 12,     Boxscore,
, Minnesota Twins, 2, @,  Detroit Tigers, 0,     Boxscore,
, San Diego Padres, 4, @,  Florida Marlins, 1,     Boxscore,
, Cincinnati Reds, 6, @,  Houston Astros, 2,     Boxscore,
, Seattle Mariners, 3, @,  Kansas City Royals, 2,     Boxscore,
, Pittsburgh Pirates, 7, @,  Milwaukee Brewers, 3,     Boxscore,
,Los Angeles Dodgers, 0, @,  New York Mets, 4,     Boxscore,
,Los Angeles Dodgers, 5, @,  New York Mets, 10,     Boxscore,
,Philadelphia Phillies, 2, @,  San Francisco Giants, 6,     Boxscore,
,Atlanta Braves, 4, @,  St. Louis Cardinals, 5,     Boxscore,
,Oakland Athletics, 6, @,  Tampa Bay Rays, 8,     Boxscore,
,Chicago White Sox, 2, @,  Texas Rangers, 4,     Boxscore,
, Boston Red Sox, 2, @,  Toronto Blue Jays, 1,     Boxscore,
,Cleveland Indians, 3, @,  LA Angels of Anaheim, 4,     Boxscore,
, New York Yankees, 8, @,  Baltimore Orioles, 3,     Boxscore,
, Washington Nationals, 3, @,  Chicago Cubs, 2,     Boxscore,
, Arizona D'Backs, 12, @,  Colorado Rockies, 11,     Boxscore,
,Minnesota Twins, 6, @,  Detroit Tigers, 11,     Boxscore,
, San Diego Padres, 6, @,  Florida Marlins, 4,     Boxscore,
, Cincinnati Reds, 6, @,  Houston Astros, 4,     Boxscore,
, Seattle Mariners, 6, @,  Kansas City Royals, 5,     Boxscore,
, Pittsburgh Pirates, 6, @,  Milwaukee Brewers, 5,     Boxscore,
,Los Angeles Dodgers, 3, @,  New York Mets, 7,     Boxscore,
, Philadelphia Phillies, 7, @,  San Francisco Giants, 6,     Boxscore,
,Atlanta Braves, 0, @,  St. Louis Cardinals, 6,     Boxscore,
,Oakland Athletics, 3, @,  Tampa Bay Rays, 10,     Boxscore,
,Chicago White Sox, 5, @,  Texas Rangers, 6,     Boxscore,
, Boston Red Sox, 2, @,  Toronto Blue Jays, 0,     Boxscore,
, New York Yankees, 4, @,  Baltimore Orioles, 0,     Boxscore,
, Arizona D'Backs, 13, @,  Chicago Cubs, 5,     Boxscore,
,Minnesota Twins, 0, @,  Detroit Tigers, 3,     Boxscore,
, Cincinnati Reds, 4, @,  Houston Astros, 2,     Boxscore,
, Pittsburgh Pirates, 2, @,  Los Angeles Dodgers, 0,     Boxscore,
,Milwaukee Brewers, 0, @,  San Diego Padres, 9,     Boxscore,
,Atlanta Braves, 4, @,  St. Louis Cardinals, 10,     Boxscore,
,Kansas City Royals, 1, @,  Tampa Bay Rays, 11,     Boxscore,
, Chicago White Sox, 7, @,  Texas Rangers, 5,     Boxscore,
,Oakland Athletics, 3, @,  Toronto Blue Jays, 6,     Boxscore,
,Houston Astros, 2, @,  Atlanta Braves, 4,     Boxscore,
,Boston Red Sox, 4, @,  Baltimore Orioles, 5,     Boxscore,
,Arizona D'Backs, 5, @,  Chicago Cubs, 11,     Boxscore,
, Minnesota Twins, 9, @,  Cleveland Indians, 3,     Boxscore,
,LA Angels of Anaheim, 6, @,  Detroit Tigers, 10,     Boxscore,
, Washington Nationals, 7, @,  Florida Marlins, 1,     Boxscore,
,Pittsburgh Pirates, 2, @,  Los Angeles Dodgers, 6,     Boxscore,
,Chicago White Sox, 4, @,  New York Yankees, 6,     Boxscore,
, New York Mets, 9, @,  Philadelphia Phillies, 1,     Boxscore,
,Milwaukee Brewers, 0, @,  San Diego Padres, 3,     Boxscore,
, Texas Rangers, 2, @,  Seattle Mariners, 0,     Boxscore,
,Colorado Rockies, 2, @,  San Francisco Giants, 5,     Boxscore,
, Cincinnati Reds, 3, @,  St. Louis Cardinals, 2,     Boxscore,
, Kansas City Royals, 3, @,  Tampa Bay Rays, 2,     Boxscore,
,Oakland Athletics, 2, @,  Toronto Blue Jays, 10,     Boxscore,
,Houston Astros, 1, @,  Atlanta Braves, 10,     Boxscore,
,Boston Red Sox, 9, @,  Baltimore Orioles, 12,     Boxscore,
,Arizona D'Backs, 5, @,  Chicago Cubs, 7,     Boxscore,
,Minnesota Twins, 4, @,  Cleveland Indians, 5,     Boxscore,
,LA Angels of Anaheim, 2, @,  Detroit Tigers, 3,     Boxscore,
,Washington Nationals, 1, @,  Florida Marlins, 7,     Boxscore,
,Pittsburgh Pirates, 1, @,  Los Angeles Dodgers, 5,     Boxscore,
, Chicago White Sox, 7, @,  New York Yankees, 6,     Boxscore,
,New York Mets, 0, @,  Philadelphia Phillies, 10,     Boxscore,
, Milwaukee Brewers, 2, @,  San Diego Padres, 1,     Boxscore,
, Texas Rangers, 6, @,  Seattle Mariners, 3,     Boxscore,
,Colorado Rockies, 1, @,  San Francisco Giants, 6,     Boxscore,
,Cincinnati Reds, 3, @,  St. Louis Cardinals, 6,     Boxscore,
, Kansas City Royals, 4, @,  Tampa Bay Rays, 2,     Boxscore,
