, Seattle Mariners, 8, @,  Oakland Athletics, 7,     Boxscore,
, Washington Nationals, 4, @,  Philadelphia Phillies, 3,     Boxscore,
,San Francisco Giants, 4, @,  San Diego Padres, 6,     Boxscore,
, Houston Astros, 6, @,  Texas Rangers, 4,     Boxscore,
,Miami Marlins, 2, @,  Atlanta Braves, 3,     Boxscore,
, New York Yankees, 6, @,  Baltimore Orioles, 5,     Boxscore,
,Washington Nationals, 4, @,  Boston Red Sox, 9,     Boxscore,
,Cincinnati Reds, 6, @,  Chicago Cubs, 7,     Boxscore,
, Oakland Athletics, 8, @,  Houston Astros, 1,     Boxscore,
,Seattle Mariners, 5, @,  Los Angeles Dodgers, 6,     Boxscore,
, Kansas City Royals, 12, @,  Minnesota Twins, 3,     Boxscore,
,Philadelphia Phillies, 0, @,  New York Mets, 2,     Boxscore,
,Detroit Tigers, 4, @,  Pittsburgh Pirates, 5,     Boxscore,
, Arizona D'Backs, 8, @,  San Diego Padres, 4,     Boxscore,
, Colorado Rockies, 2, @,  San Francisco Giants, 0,     Boxscore,
, Milwaukee Brewers, 5, @,  St. Louis Cardinals, 4,     Boxscore,
, LA Angels of Anaheim, 6, @,  Texas Rangers, 3,     Boxscore,
, Tampa Bay Rays, 2, @,  Toronto Blue Jays, 1,     Boxscore,
, Miami Marlins, 8, @,  Atlanta Braves, 2,     Boxscore,
,New York Yankees, 3, @,  Baltimore Orioles, 4,     Boxscore,
,Washington Nationals, 7, @,  Boston Red Sox, 8,     Boxscore,
, Cincinnati Reds, 3, @,  Chicago Cubs, 2,     Boxscore,
, Chicago White Sox, 4, @,  Cleveland Indians, 1,     Boxscore,
, Oakland Athletics, 4, @,  Houston Astros, 0,     Boxscore,
,Seattle Mariners, 5, @,  Los Angeles Dodgers, 6,     Boxscore,
,Philadelphia Phillies, 5, @,  New York Mets, 6,     Boxscore,
, Detroit Tigers, 2, @,  Pittsburgh Pirates, 0,     Boxscore,
,Arizona D'Backs, 1, @,  San Diego Padres, 5,     Boxscore,
, Colorado Rockies, 4, @,  San Francisco Giants, 1,     Boxscore,
,LA Angels of Anaheim, 2, @,  Texas Rangers, 8,     Boxscore,
