, Baltimore Orioles, 9, @,  Boston Red Sox, 7,     Boxscore,
,Cincinnati Reds, 3, @,  Chicago Cubs, 5,     Boxscore,
, Pittsburgh Pirates, 7, @,  Detroit Tigers, 4,     Boxscore,
,Kansas City Royals, 2, @,  Houston Astros, 8,     Boxscore,
, Chicago White Sox, 4, @,  Minnesota Twins, 1,     Boxscore,
, Miami Marlins, 10, @,  New York Mets, 3,     Boxscore,
, LA Angels of Anaheim, 4, @,  Oakland Athletics, 1,     Boxscore,
, San Diego Padres, 4, @,  Philadelphia Phillies, 3,     Boxscore,
, Texas Rangers, 7, @,  Seattle Mariners, 3,     Boxscore,
,Milwaukee Brewers, 1, @,  St. Louis Cardinals, 10,     Boxscore,
,Atlanta Braves, 4, @,  Washington Nationals, 6,     Boxscore,
, Baltimore Orioles, 9, @,  Boston Red Sox, 5,     Boxscore,
, San Francisco Giants, 7, @,  Colorado Rockies, 2,     Boxscore,
,Pittsburgh Pirates, 2, @,  Detroit Tigers, 8,     Boxscore,
, Kansas City Royals, 3, @,  Houston Astros, 2,     Boxscore,
, Arizona D'Backs, 4, @,  Los Angeles Dodgers, 2,     Boxscore,
, Miami Marlins, 2, @,  New York Mets, 1,     Boxscore,
, LA Angels of Anaheim, 5, @,  Oakland Athletics, 4,     Boxscore,
,San Diego Padres, 0, @,  Philadelphia Phillies, 3,     Boxscore,
, Texas Rangers, 8, @,  Seattle Mariners, 0,     Boxscore,
,Cleveland Indians, 1, @,  Tampa Bay Rays, 5,     Boxscore,
, New York Yankees, 3, @,  Toronto Blue Jays, 2,     Boxscore,
,Atlanta Braves, 1, @,  Washington Nationals, 2,     Boxscore,
,Baltimore Orioles, 2, @,  Boston Red Sox, 4,     Boxscore,
,Cincinnati Reds, 2, @,  Chicago Cubs, 9,     Boxscore,
,San Francisco Giants, 6, @,  Colorado Rockies, 10,     Boxscore,
, Kansas City Royals, 4, @,  Houston Astros, 2,     Boxscore,
,Arizona D'Backs, 1, @,  Los Angeles Dodgers, 3,     Boxscore,
, Chicago White Sox, 3, @,  Minnesota Twins, 0,     Boxscore,
,Miami Marlins, 1, @,  New York Mets, 2,     Boxscore,
, LA Angels of Anaheim, 5, @,  Oakland Athletics, 1,     Boxscore,
,San Diego Padres, 1, @,  Philadelphia Phillies, 2,     Boxscore,
, Detroit Tigers, 7, @,  Pittsburgh Pirates, 3,     Boxscore,
