, Pittsburgh Pirates, 2, @,  Philadelphia Phillies, 0,     Boxscore,
, Los Angeles Dodgers, 4, @,  San Diego Padres, 3,     Boxscore,
, New York Yankees, 10, @,  Tampa Bay Devil Rays, 5,     Boxscore,
, Seattle Mariners, 11, @,  Texas Rangers, 2,     Boxscore,
,Florida Marlins, 0, @,  Atlanta Braves, 3,     Boxscore,
, Arizona D'Backs, 6, @,  Los Angeles Dodgers, 4,     Boxscore,
,San Diego Padres, 4, @,  San Francisco Giants, 7,     Boxscore,
,Montreal Expos, 1, @,  Chicago Cubs, 6,     Boxscore,
, Chicago White Sox, 5, @,  Cleveland Indians, 3,     Boxscore,
, St. Louis Cardinals, 15, @,  Colorado Rockies, 12,     Boxscore,
, New York Mets, 4, @,  Florida Marlins, 2,     Boxscore,
, Cincinnati Reds, 2, @,  Houston Astros, 1,     Boxscore,
,Arizona D'Backs, 3, @,  Los Angeles Dodgers, 5,     Boxscore,
,Minnesota Twins, 3, @,  New York Yankees, 7,     Boxscore,
,Atlanta Braves, 3, @,  Philadelphia Phillies, 4,     Boxscore,
, Milwaukee Brewers, 5, @,  Pittsburgh Pirates, 3,     Boxscore,
,Anaheim Angels, 0, @,  Seattle Mariners, 5,     Boxscore,
, San Diego Padres, 9, @,  San Francisco Giants, 4,     Boxscore,
,Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 8,     Boxscore,
, Oakland Athletics, 2, @,  Texas Rangers, 1,     Boxscore,
,Boston Red Sox, 4, @,  Toronto Blue Jays, 8,     Boxscore,
,Montreal Expos, 0, @,  Chicago Cubs, 3,     Boxscore,
,Chicago White Sox, 2, @,  Cleveland Indians, 5,     Boxscore,
,St. Louis Cardinals, 4, @,  Colorado Rockies, 9,     Boxscore,
, Kansas City Royals, 9, @,  Detroit Tigers, 6,     Boxscore,
,New York Mets, 2, @,  Florida Marlins, 3,     Boxscore,
,Cincinnati Reds, 3, @,  Houston Astros, 4,     Boxscore,
,Arizona D'Backs, 2, @,  Los Angeles Dodgers, 5,     Boxscore,
,Minnesota Twins, 1, @,  New York Yankees, 2,     Boxscore,
,Atlanta Braves, 2, @,  Philadelphia Phillies, 16,     Boxscore,
, Milwaukee Brewers, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
, Anaheim Angels, 5, @,  Seattle Mariners, 1,     Boxscore,
,San Diego Padres, 11, @,  San Francisco Giants, 15,     Boxscore,
,Baltimore Orioles, 7, @,  Tampa Bay Devil Rays, 10,     Boxscore,
, Oakland Athletics, 13, @,  Texas Rangers, 5,     Boxscore,
,Boston Red Sox, 5, @,  Toronto Blue Jays, 10,     Boxscore,
, Montreal Expos, 7, @,  Chicago Cubs, 1,     Boxscore,
, Chicago White Sox, 7, @,  Cleveland Indians, 2,     Boxscore,
,St. Louis Cardinals, 6, @,  Colorado Rockies, 7,     Boxscore,
, Kansas City Royals, 4, @,  Detroit Tigers, 2,     Boxscore,
,New York Mets, 3, @,  Florida Marlins, 4,     Boxscore,
,Cincinnati Reds, 2, @,  Houston Astros, 4,     Boxscore,
,Minnesota Twins, 0, @,  New York Yankees, 2,     Boxscore,
, Atlanta Braves, 6, @,  Philadelphia Phillies, 2,     Boxscore,
,Milwaukee Brewers, 1, @,  Pittsburgh Pirates, 3,     Boxscore,
, Anaheim Angels, 3, @,  Seattle Mariners, 0,     Boxscore,
,Los Angeles Dodgers, 1, @,  San Francisco Giants, 2,     Boxscore,
