,Cincinnati Reds, 2, @,  Arizona D'Backs, 3,     Boxscore,
,Detroit Tigers, 2, @,  Baltimore Orioles, 6,     Boxscore,
, Houston Astros, 5, @,  Chicago Cubs, 3,     Boxscore,
,Milwaukee Brewers, 3, @,  Florida Marlins, 5,     Boxscore,
, Colorado Rockies, 6, @,  Los Angeles Dodgers, 3,     Boxscore,
, New York Yankees, 8, @,  Minnesota Twins, 2,     Boxscore,
,Philadelphia Phillies, 5, @,  New York Mets, 11,     Boxscore,
, Chicago White Sox, 4, @,  Oakland Athletics, 1,     Boxscore,
, St. Louis Cardinals, 3, @,  Pittsburgh Pirates, 0,     Boxscore,
,San Francisco Giants, 0, @,  San Diego Padres, 1,     Boxscore,
,Tampa Bay Devil Rays, 4, @,  Texas Rangers, 8,     Boxscore,
,Kansas City Royals, 1, @,  Toronto Blue Jays, 9,     Boxscore,
,Cincinnati Reds, 4, @,  Arizona D'Backs, 5,     Boxscore,
,Washington Nationals, 0, @,  Atlanta Braves, 8,     Boxscore,
, Detroit Tigers, 3, @,  Baltimore Orioles, 1,     Boxscore,
,Seattle Mariners, 3, @,  Boston Red Sox, 14,     Boxscore,
, Houston Astros, 4, @,  Chicago Cubs, 2,     Boxscore,
,LA Angels of Anaheim, 6, @,  Cleveland Indians, 7,     Boxscore,
, Milwaukee Brewers, 3, @,  Florida Marlins, 2,     Boxscore,
,Colorado Rockies, 1, @,  Los Angeles Dodgers, 2,     Boxscore,
, New York Yankees, 10, @,  Minnesota Twins, 1,     Boxscore,
,Chicago White Sox, 1, @,  Oakland Athletics, 2,     Boxscore,
, St. Louis Cardinals, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
, San Francisco Giants, 6, @,  San Diego Padres, 5,     Boxscore,
,Tampa Bay Devil Rays, 9, @,  Texas Rangers, 12,     Boxscore,
, Kansas City Royals, 6, @,  Toronto Blue Jays, 3,     Boxscore,
, Cincinnati Reds, 3, @,  Arizona D'Backs, 2,     Boxscore,
,Washington Nationals, 3, @,  Atlanta Braves, 8,     Boxscore,
, Detroit Tigers, 4, @,  Baltimore Orioles, 1,     Boxscore,
, Seattle Mariners, 3, @,  Boston Red Sox, 0,     Boxscore,
, LA Angels of Anaheim, 4, @,  Cleveland Indians, 1,     Boxscore,
, Milwaukee Brewers, 5, @,  Florida Marlins, 2,     Boxscore,
,Colorado Rockies, 0, @,  Los Angeles Dodgers, 3,     Boxscore,
,New York Yankees, 1, @,  Minnesota Twins, 5,     Boxscore,
, Philadelphia Phillies, 5, @,  New York Mets, 2,     Boxscore,
, Chicago White Sox, 6, @,  Oakland Athletics, 3,     Boxscore,
, St. Louis Cardinals, 3, @,  Pittsburgh Pirates, 2,     Boxscore,
,San Francisco Giants, 0, @,  San Diego Padres, 4,     Boxscore,
, Tampa Bay Devil Rays, 6, @,  Texas Rangers, 5,     Boxscore,
,Kansas City Royals, 4, @,  Toronto Blue Jays, 7,     Boxscore,
, Washington Nationals, 2, @,  Atlanta Braves, 0,     Boxscore,
,Kansas City Royals, 1, @,  Baltimore Orioles, 2,     Boxscore,
,LA Angels of Anaheim, 2, @,  Cleveland Indians, 4,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Minnesota Twins, 3,     Boxscore,
,Philadelphia Phillies, 3, @,  New York Mets, 5,     Boxscore,
