,New York Mets, 2, @,  Montreal Expos, 5,     Boxscore,
,Toronto Blue Jays, 5, @,  New York Yankees, 16,     Boxscore,
, Anaheim Angels, 6, @,  Oakland Athletics, 4,     Boxscore,
,Chicago Cubs, 1, @,  Philadelphia Phillies, 3,     Boxscore,
,Seattle Mariners, 4, @,  Texas Rangers, 5,     Boxscore,
,Cleveland Indians, 2, @,  Chicago White Sox, 9,     Boxscore,
, New York Yankees, 13, @,  Kansas City Royals, 4,     Boxscore,
,Detroit Tigers, 5, @,  Minnesota Twins, 11,     Boxscore,
,Chicago Cubs, 5, @,  Montreal Expos, 7,     Boxscore,
,Atlanta Braves, 4, @,  New York Mets, 9,     Boxscore,
,Florida Marlins, 4, @,  Philadelphia Phillies, 5,     Boxscore,
, Cincinnati Reds, 8, @,  Pittsburgh Pirates, 2,     Boxscore,
,Colorado Rockies, 2, @,  St. Louis Cardinals, 3,     Boxscore,
,Tampa Bay Devil Rays, 1, @,  Toronto Blue Jays, 8,     Boxscore,
, Texas Rangers, 7, @,  Anaheim Angels, 5,     Boxscore,
,Los Angeles Dodgers, 0, @,  Arizona D'Backs, 2,     Boxscore,
,Baltimore Orioles, 1, @,  Boston Red Sox, 10,     Boxscore,
,Cleveland Indians, 7, @,  Chicago White Sox, 8,     Boxscore,
, New York Yankees, 9, @,  Kansas City Royals, 5,     Boxscore,
, Houston Astros, 3, @,  Milwaukee Brewers, 0,     Boxscore,
,Detroit Tigers, 2, @,  Minnesota Twins, 8,     Boxscore,
, Chicago Cubs, 4, @,  Montreal Expos, 2,     Boxscore,
, Seattle Mariners, 5, @,  Oakland Athletics, 1,     Boxscore,
,Florida Marlins, 6, @,  Philadelphia Phillies, 7,     Boxscore,
, San Francisco Giants, 11, @,  San Diego Padres, 6,     Boxscore,
,Tampa Bay Devil Rays, 2, @,  Toronto Blue Jays, 3,     Boxscore,
,Texas Rangers, 2, @,  Anaheim Angels, 7,     Boxscore,
, Los Angeles Dodgers, 11, @,  Arizona D'Backs, 5,     Boxscore,
, Baltimore Orioles, 5, @,  Boston Red Sox, 4,     Boxscore,
,Cleveland Indians, 6, @,  Chicago White Sox, 7,     Boxscore,
, New York Yankees, 8, @,  Kansas City Royals, 5,     Boxscore,
, Houston Astros, 7, @,  Milwaukee Brewers, 1,     Boxscore,
,Detroit Tigers, 1, @,  Minnesota Twins, 12,     Boxscore,
, Chicago Cubs, 4, @,  Montreal Expos, 2,     Boxscore,
, Atlanta Braves, 2, @,  New York Mets, 0,     Boxscore,
, Seattle Mariners, 3, @,  Oakland Athletics, 0,     Boxscore,
,Cincinnati Reds, 5, @,  Pittsburgh Pirates, 6,     Boxscore,
, San Francisco Giants, 2, @,  San Diego Padres, 1,     Boxscore,
,Colorado Rockies, 1, @,  St. Louis Cardinals, 3,     Boxscore,
, Tampa Bay Devil Rays, 4, @,  Toronto Blue Jays, 3,     Boxscore,
,Texas Rangers, 3, @,  Anaheim Angels, 13,     Boxscore,
, Los Angeles Dodgers, 5, @,  Arizona D'Backs, 4,     Boxscore,
,Baltimore Orioles, 2, @,  Boston Red Sox, 8,     Boxscore,
, Cleveland Indians, 5, @,  Detroit Tigers, 3,     Boxscore,
,Houston Astros, 4, @,  Milwaukee Brewers, 12,     Boxscore,
,Atlanta Braves, 0, @,  New York Mets, 1,     Boxscore,
, Seattle Mariners, 7, @,  Oakland Athletics, 3,     Boxscore,
, Cincinnati Reds, 11, @,  Pittsburgh Pirates, 6,     Boxscore,
,San Francisco Giants, 3, @,  San Diego Padres, 8,     Boxscore,
, Colorado Rockies, 6, @,  St. Louis Cardinals, 4,     Boxscore,
,Seattle Mariners, 3, @,  Anaheim Angels, 4,     Boxscore,
,Philadelphia Phillies, 2, @,  Atlanta Braves, 4,     Boxscore,
, Tampa Bay Devil Rays, 2, @,  Baltimore Orioles, 0,     Boxscore,
,New York Yankees, 2, @,  Boston Red Sox, 3,     Boxscore,
,Pittsburgh Pirates, 2, @,  Chicago Cubs, 4,     Boxscore,
, Arizona D'Backs, 7, @,  Colorado Rockies, 3,     Boxscore,
, Cleveland Indians, 9, @,  Detroit Tigers, 8,     Boxscore,
, San Francisco Giants, 7, @,  Milwaukee Brewers, 3,     Boxscore,
,Chicago White Sox, 4, @,  Minnesota Twins, 7,     Boxscore,
, Florida Marlins, 9, @,  Montreal Expos, 3,     Boxscore,
, Cincinnati Reds, 3, @,  New York Mets, 2,     Boxscore,
, Texas Rangers, 13, @,  Oakland Athletics, 1,     Boxscore,
,Los Angeles Dodgers, 4, @,  San Diego Padres, 5,     Boxscore,
, Houston Astros, 4, @,  St. Louis Cardinals, 2,     Boxscore,
,Kansas City Royals, 1, @,  Toronto Blue Jays, 2,     Boxscore,
, Seattle Mariners, 2, @,  Anaheim Angels, 1,     Boxscore,
, Philadelphia Phillies, 2, @,  Atlanta Braves, 1,     Boxscore,
,Tampa Bay Devil Rays, 5, @,  Baltimore Orioles, 6,     Boxscore,
, New York Yankees, 3, @,  Boston Red Sox, 2,     Boxscore,
