,Tampa Bay Rays, 0, @,  New York Yankees, 2,     Boxscore,
, Cleveland Indians, 2, @,  Oakland Athletics, 1,     Boxscore,
, Los Angeles Dodgers, 3, @,  San Diego Padres, 2,     Boxscore,
,Washington Nationals, 0, @,  St. Louis Cardinals, 3,     Boxscore,
,Boston Red Sox, 4, @,  Toronto Blue Jays, 7,     Boxscore,
,Cleveland Indians, 4, @,  LA Angels of Anaheim, 6,     Boxscore,
,Los Angeles Dodgers, 3, @,  Arizona D'Backs, 9,     Boxscore,
,Seattle Mariners, 4, @,  Baltimore Orioles, 5,     Boxscore,
,Minnesota Twins, 4, @,  Chicago White Sox, 7,     Boxscore,
, Philadelphia Phillies, 5, @,  Cincinnati Reds, 3,     Boxscore,
,Atlanta Braves, 1, @,  Colorado Rockies, 2,     Boxscore,
,St. Louis Cardinals, 3, @,  Houston Astros, 5,     Boxscore,
,Tampa Bay Rays, 1, @,  New York Yankees, 6,     Boxscore,
, Chicago Cubs, 10, @,  Pittsburgh Pirates, 8,     Boxscore,
, San Diego Padres, 8, @,  San Francisco Giants, 4,     Boxscore,
, Florida Marlins, 10, @,  Washington Nationals, 7,     Boxscore,
, Cleveland Indians, 4, @,  LA Angels of Anaheim, 3,     Boxscore,
,Los Angeles Dodgers, 5, @,  Arizona D'Backs, 10,     Boxscore,
,Detroit Tigers, 0, @,  Boston Red Sox, 5,     Boxscore,
,Atlanta Braves, 3, @,  Colorado Rockies, 4,     Boxscore,
, St. Louis Cardinals, 5, @,  Houston Astros, 3,     Boxscore,
,New York Yankees, 2, @,  Kansas City Royals, 5,     Boxscore,
,Cincinnati Reds, 2, @,  Milwaukee Brewers, 3,     Boxscore,
, Philadelphia Phillies, 5, @,  New York Mets, 2,     Boxscore,
,San Diego Padres, 2, @,  San Francisco Giants, 3,     Boxscore,
, Seattle Mariners, 6, @,  Tampa Bay Rays, 5,     Boxscore,
, Baltimore Orioles, 8, @,  Texas Rangers, 1,     Boxscore,
, Oakland Athletics, 9, @,  Toronto Blue Jays, 8,     Boxscore,
,Cleveland Indians, 5, @,  LA Angels of Anaheim, 9,     Boxscore,
,Los Angeles Dodgers, 3, @,  Arizona D'Backs, 4,     Boxscore,
, Detroit Tigers, 7, @,  Boston Red Sox, 2,     Boxscore,
, Minnesota Twins, 12, @,  Chicago White Sox, 5,     Boxscore,
,Atlanta Braves, 6, @,  Colorado Rockies, 12,     Boxscore,
, St. Louis Cardinals, 6, @,  Houston Astros, 4,     Boxscore,
,New York Yankees, 0, @,  Kansas City Royals, 4,     Boxscore,
, Cincinnati Reds, 12, @,  Milwaukee Brewers, 4,     Boxscore,
,Philadelphia Phillies, 2, @,  New York Mets, 8,     Boxscore,
, Chicago Cubs, 6, @,  Pittsburgh Pirates, 4,     Boxscore,
,San Diego Padres, 0, @,  San Francisco Giants, 1,     Boxscore,
, Seattle Mariners, 7, @,  Tampa Bay Rays, 1,     Boxscore,
, Oakland Athletics, 6, @,  Toronto Blue Jays, 3,     Boxscore,
, Florida Marlins, 10, @,  Washington Nationals, 4,     Boxscore,
,Detroit Tigers, 6, @,  Boston Red Sox, 12,     Boxscore,
, New York Yankees, 6, @,  Kansas City Royals, 1,     Boxscore,
, Cincinnati Reds, 4, @,  Milwaukee Brewers, 1,     Boxscore,
,Philadelphia Phillies, 3, @,  New York Mets, 4,     Boxscore,
, Chicago Cubs, 7, @,  Pittsburgh Pirates, 3,     Boxscore,
,St. Louis Cardinals, 1, @,  San Francisco Giants, 5,     Boxscore,
,Seattle Mariners, 0, @,  Tampa Bay Rays, 7,     Boxscore,
,Baltimore Orioles, 1, @,  Texas Rangers, 3,     Boxscore,
,Baltimore Orioles, 4, @,  Texas Rangers, 5,     Boxscore,
, Oakland Athletics, 3, @,  Toronto Blue Jays, 2,     Boxscore,
, Florida Marlins, 4, @,  Washington Nationals, 3,     Boxscore,
,Colorado Rockies, 2, @,  Arizona D'Backs, 8,     Boxscore,
, New York Yankees, 4, @,  Boston Red Sox, 1,     Boxscore,
, Detroit Tigers, 5, @,  Chicago White Sox, 2,     Boxscore,
, Oakland Athletics, 9, @,  Cleveland Indians, 7,     Boxscore,
, Florida Marlins, 10, @,  Houston Astros, 6,     Boxscore,
, Minnesota Twins, 5, @,  Kansas City Royals, 0,     Boxscore,
, San Diego Padres, 7, @,  Los Angeles Dodgers, 5,     Boxscore,
,Milwaukee Brewers, 2, @,  New York Mets, 4,     Boxscore,
,Chicago Cubs, 3, @,  Philadelphia Phillies, 5,     Boxscore,
,Cincinnati Reds, 0, @,  Pittsburgh Pirates, 1,     Boxscore,
,LA Angels of Anaheim, 5, @,  Seattle Mariners, 8,     Boxscore,
, St. Louis Cardinals, 8, @,  San Francisco Giants, 2,     Boxscore,
,Baltimore Orioles, 5, @,  Tampa Bay Rays, 10,     Boxscore,
, Toronto Blue Jays, 8, @,  Texas Rangers, 5,     Boxscore,
, Atlanta Braves, 3, @,  Washington Nationals, 0,     Boxscore,
,Colorado Rockies, 3, @,  Arizona D'Backs, 10,     Boxscore,
,New York Yankees, 3, @,  Boston Red Sox, 4,     Boxscore,
,Detroit Tigers, 0, @,  Chicago White Sox, 7,     Boxscore,
, Oakland Athletics, 7, @,  Cleveland Indians, 3,     Boxscore,
,Florida Marlins, 0, @,  Houston Astros, 5,     Boxscore,
, Minnesota Twins, 2, @,  Kansas City Royals, 0,     Boxscore,
,San Diego Padres, 1, @,  Los Angeles Dodgers, 11,     Boxscore,
, Milwaukee Brewers, 5, @,  New York Mets, 3,     Boxscore,
,Chicago Cubs, 1, @,  Philadelphia Phillies, 7,     Boxscore,
,Cincinnati Reds, 3, @,  Pittsburgh Pirates, 4,     Boxscore,
,LA Angels of Anaheim, 3, @,  Seattle Mariners, 8,     Boxscore,
, St. Louis Cardinals, 8, @,  San Francisco Giants, 7,     Boxscore,
, Baltimore Orioles, 3, @,  Tampa Bay Rays, 2,     Boxscore,
, Toronto Blue Jays, 4, @,  Texas Rangers, 1,     Boxscore,
, Atlanta Braves, 10, @,  Washington Nationals, 2,     Boxscore,
, Colorado Rockies, 13, @,  Arizona D'Backs, 5,     Boxscore,
,New York Yankees, 5, @,  Boston Red Sox, 8,     Boxscore,
,Detroit Tigers, 0, @,  Chicago White Sox, 11,     Boxscore,
,Oakland Athletics, 1, @,  Cleveland Indians, 7,     Boxscore,
,Florida Marlins, 1, @,  Houston Astros, 5,     Boxscore,
,Minnesota Twins, 1, @,  Kansas City Royals, 5,     Boxscore,
, San Diego Padres, 1, @,  Los Angeles Dodgers, 0,     Boxscore,
, Milwaukee Brewers, 9, @,  New York Mets, 7,     Boxscore,
, Chicago Cubs, 6, @,  Philadelphia Phillies, 5,     Boxscore,
,Cincinnati Reds, 1, @,  Pittsburgh Pirates, 9,     Boxscore,
, LA Angels of Anaheim, 10, @,  Seattle Mariners, 5,     Boxscore,
,St. Louis Cardinals, 4, @,  San Francisco Giants, 7,     Boxscore,
