games, r_squared, odds better team wins
0,0.244017797553,0.7
1,0.338264738598,0.7
2,0.410611790879,0.7
3,0.465130144605,0.7
4,0.497908787542,0.7
5,0.541521690768,0.7
6,0.571305895439,0.7
7,0.608017797553,0.7
8,0.632849833148,0.7
9,0.650393770857,0.7
10,0.668338153504,0.7
11,0.696088987764,0.7
12,0.711928809789,0.7
13,0.730714126808,0.7
14,0.746344827586,0.7
15,0.757819799778,0.7
16,0.766251390434,0.7
17,0.779194660734,0.7
18,0.789383759733,0.7
19,0.801793103448,0.7
20,0.813401557286,0.7
21,0.820565072303,0.7
22,0.827390433815,0.7
23,0.833659621802,0.7
24,0.838611790879,0.7
25,0.84608676307,0.7
26,0.851973303671,0.7
27,0.85855839822,0.7
28,0.863337041157,0.7
29,0.868462736374,0.7
30,0.872235817575,0.7
31,0.877374860957,0.7
32,0.88268298109,0.7
33,0.888627363737,0.7
34,0.894923248053,0.7
35,0.898344827586,0.7
36,0.902229143493,0.7
37,0.905517241379,0.7
38,0.909223581758,0.7
39,0.911697441602,0.7
40,0.915973303671,0.7
41,0.918593993326,0.7
42,0.920578420467,0.7
43,0.923773081201,0.7
44,0.926220244716,0.7
45,0.92787541713,0.7
46,0.930754171301,0.7
47,0.934505005562,0.7
48,0.938327030033,0.7
49,0.93975083426,0.7
50,0.941499443826,0.7
51,0.944275862069,0.7
52,0.946852057842,0.7
53,0.948364849833,0.7
54,0.9510567297,0.7
55,0.95408676307,0.7
56,0.955937708565,0.7
57,0.957450500556,0.7
58,0.95940378198,0.7
59,0.960849833148,0.7
60,0.962972191324,0.7
61,0.965610678532,0.7
62,0.967368186874,0.7
63,0.96944160178,0.7
64,0.971007786429,0.7
65,0.972600667408,0.7
66,0.973824249166,0.7
67,0.976467185762,0.7
68,0.978233592881,0.7
69,0.97977753059,0.7
70,0.981285873192,0.7
71,0.983016685206,0.7
72,0.98395105673,0.7
73,0.985107897664,0.7
74,0.986749721913,0.7
75,0.98817352614,0.7
76,0.98991323693,0.7
77,0.991515016685,0.7
78,0.993321468298,0.7
79,0.994803114572,0.7
80,0.99696996663,0.7
81,1.0,0.7
