games, r_squared, odds better team wins
0,0.128938820912,0.5
1,0.181575083426,0.5
2,0.208307007786,0.5
3,0.228355951057,0.5
4,0.250451612903,0.5
5,0.276209121246,0.5
6,0.291483870968,0.5
7,0.299497219132,0.5
8,0.303065628476,0.5
9,0.326349276974,0.5
10,0.336751946607,0.5
11,0.360582869855,0.5
12,0.376849833148,0.5
13,0.391256952169,0.5
14,0.409708565072,0.5
15,0.425388209121,0.5
16,0.433210233593,0.5
17,0.445001112347,0.5
18,0.456409343715,0.5
19,0.473446051168,0.5
20,0.489254727475,0.5
21,0.50166407119,0.5
22,0.513868743048,0.5
23,0.524907675195,0.5
24,0.536511679644,0.5
25,0.543047830923,0.5
26,0.55289432703,0.5
27,0.562923248053,0.5
28,0.568413793103,0.5
29,0.578487208009,0.5
30,0.587644048943,0.5
31,0.597477196885,0.5
32,0.610358175751,0.5
33,0.617908787542,0.5
34,0.62775083426,0.5
35,0.633770856507,0.5
36,0.646985539488,0.5
37,0.654028921023,0.5
38,0.660961067853,0.5
39,0.670295884316,0.5
40,0.677681868743,0.5
41,0.680404894327,0.5
42,0.685975528365,0.5
43,0.69595105673,0.5
44,0.704703003337,0.5
45,0.711492769744,0.5
46,0.723172413793,0.5
47,0.728387096774,0.5
48,0.738011123471,0.5
49,0.745174638487,0.5
50,0.751052280311,0.5
51,0.761139043382,0.5
52,0.767492769744,0.5
53,0.774665183537,0.5
54,0.785779755284,0.5
55,0.797170189099,0.5
56,0.804453837597,0.5
57,0.813552836485,0.5
58,0.819439377086,0.5
59,0.828293659622,0.5
60,0.838327030033,0.5
61,0.846723025584,0.5
62,0.850972191324,0.5
63,0.859399332592,0.5
64,0.868400444939,0.5
65,0.874282536151,0.5
66,0.880293659622,0.5
67,0.885125695217,0.5
68,0.892872080089,0.5
69,0.898242491657,0.5
70,0.905886540601,0.5
71,0.913098998888,0.5
72,0.921761957731,0.5
73,0.930918798665,0.5
74,0.937855394883,0.5
75,0.945250278087,0.5
76,0.95314349277,0.5
77,0.960453837597,0.5
78,0.969610678532,0.5
79,0.977330367075,0.5
80,0.9859621802,0.5
81,1.0,0.5
