games, r_squared, odds better team wins
0,0.107145717464,0.6
1,0.193374860957,0.6
2,0.242104560623,0.6
3,0.27267185762,0.6
4,0.304338153504,0.6
5,0.334496106785,0.6
6,0.364582869855,0.6
7,0.3979621802,0.6
8,0.434015572859,0.6
9,0.450967741935,0.6
10,0.465219132369,0.6
11,0.491243604004,0.6
12,0.506447163515,0.6
13,0.522478309232,0.6
14,0.543470522803,0.6
15,0.557713014461,0.6
16,0.579639599555,0.6
17,0.58956618465,0.6
18,0.599421579533,0.6
19,0.619599555061,0.6
20,0.622678531702,0.6
21,0.638251390434,0.6
22,0.64710567297,0.6
23,0.664827586207,0.6
24,0.671212458287,0.6
25,0.682309232481,0.6
26,0.690411568409,0.6
27,0.69540378198,0.6
28,0.705281423804,0.6
29,0.718545050056,0.6
30,0.72936596218,0.6
31,0.738073414905,0.6
32,0.747127919911,0.6
33,0.752658509455,0.6
34,0.762763070078,0.6
35,0.773094549499,0.6
36,0.775101223582,0.6
37,0.782269187987,0.6
38,0.790723025584,0.6
39,0.796436040044,0.6
40,0.804311457175,0.6
41,0.811145717464,0.6
42,0.817935483871,0.6
43,0.822665183537,0.6
44,0.827675194661,0.6
45,0.833979977753,0.6
46,0.841535038932,0.6
47,0.848992213571,0.6
48,0.856218020022,0.6
49,0.861882091212,0.6
50,0.865575083426,0.6
51,0.870362625139,0.6
52,0.876489432703,0.6
53,0.882028921023,0.6
54,0.885228031146,0.6
55,0.885917686318,0.6
56,0.89252057842,0.6
57,0.896760845384,0.6
58,0.900832035595,0.6
59,0.905557285873,0.6
60,0.912956618465,0.6
61,0.918798665184,0.6
62,0.921641824249,0.6
63,0.926754171301,0.6
64,0.92991323693,0.6
65,0.933112347052,0.6
66,0.938407119021,0.6
67,0.941410456062,0.6
68,0.945406006674,0.6
69,0.950318131257,0.6
70,0.95488320356,0.6
71,0.959372636263,0.6
72,0.962718576196,0.6
73,0.965401557286,0.6
74,0.968284760845,0.6
75,0.973601779755,0.6
76,0.977041156841,0.6
77,0.980369299221,0.6
78,0.984912124583,0.6
79,0.98896996663,0.6
80,0.9930189099,0.6
81,1.0,0.6
