game,r_squared
1,0.194549499444
2,0.271746384872
3,0.333398220245
4,0.35542269188
5,0.391101223582
6,0.424582869855
7,0.461206896552
8,0.495133481646
9,0.523776418242
10,0.531395995551
11,0.541045606229
12,0.561262513904
13,0.557619577308
14,0.56724137931
15,0.582730812013
16,0.595272525028
17,0.620661846496
18,0.63840378198
19,0.660038932147
20,0.656757508343
21,0.661763070078
22,0.671635150167
23,0.695939933259
24,0.714905450501
25,0.722942157953
26,0.734371523915
27,0.742130144605
28,0.739488320356
29,0.748081201335
30,0.753587319244
31,0.749221357063
32,0.761540600667
33,0.771996662959
34,0.782842046719
35,0.783676307008
36,0.790850945495
37,0.806785317019
38,0.822191323693
39,0.827919911012
40,0.829699666296
41,0.825111234705
42,0.83042269188
43,0.836123470523
44,0.854004449388
45,0.859149054505
46,0.864098998888
47,0.867408231368
48,0.873998887653
49,0.881062291435
50,0.883926585095
51,0.887235817575
52,0.890628476085
53,0.899610678532
54,0.907675194661
55,0.910150166852
56,0.914905450501
57,0.918270300334
58,0.922525027809
59,0.928142380423
60,0.92703003337
61,0.932925472747
62,0.932341490545
63,0.935789766407
64,0.940823136819
65,0.946329254727
66,0.950862068966
67,0.95414349277
68,0.956813125695
69,0.958815350389
70,0.960066740823
71,0.964516129032
72,0.96882647386
73,0.971774193548
74,0.974416017798
75,0.974721913237
76,0.97861512792
77,0.98095105673
78,0.985094549499
79,0.988153503893
80,0.991907675195
81,0.99457730812
82,1.0
