game,r_squared
1,0.339982800684
2,0.440505323375
3,0.529250053748
4,0.575645208028
5,0.620701806863
6,0.636388704536
7,0.687679120592
8,0.731422402109
9,0.753133734028
10,0.761007094718
11,0.777037978706
12,0.791664875071
13,0.810406520784
14,0.835324029501
15,0.846508258476
16,0.852797225676
17,0.865234948262
18,0.877165104084
19,0.885011357157
20,0.886894869182
21,0.891899496172
22,0.901980725549
23,0.909164244118
24,0.917928417196
25,0.923994914985
26,0.931799104514
27,0.937632850693
28,0.940497845412
29,0.94409194156
30,0.949145175312
31,0.952440152924
32,0.959008609005
33,0.966795038371
34,0.969844177938
35,0.974382366962
36,0.976615473776
37,0.981506061824
38,0.986664921809
39,0.991076920201
40,0.994603714678
41,1.0
