game,r_squared
1,0.305684602354
2,0.404860780055
3,0.491690944082
4,0.535762840546
5,0.580626777964
6,0.591478860732
7,0.63901492373
8,0.673674764678
9,0.694330041991
10,0.700759948028
11,0.717166288095
12,0.726017911799
13,0.743745774172
14,0.765390531444
15,0.781066419894
16,0.787298990787
17,0.798126874035
18,0.807108115771
19,0.809217420747
20,0.815599654767
21,0.814760149518
22,0.827667633609
23,0.831793392181
24,0.840222614815
25,0.850183573615
26,0.854389720293
27,0.859451366754
28,0.862808556867
29,0.865076768564
30,0.865848764422
31,0.870662184043
32,0.873090964231
33,0.882234228508
34,0.88456029056
35,0.890180499341
36,0.896711773326
37,0.89900522315
38,0.906329472835
39,0.909160297415
40,0.910291339376
41,0.912612208398
42,0.917722150039
43,0.921717875137
44,0.92319238411
45,0.926273408882
46,0.928143834471
47,0.932316538035
48,0.936547299676
49,0.939609006376
50,0.944798297517
51,0.945977530797
52,0.949083793695
53,0.953274049701
54,0.955836913928
55,0.959014425199
56,0.959545256738
57,0.961909227911
58,0.962606963438
59,0.962995609812
60,0.962275751977
61,0.965717796203
62,0.970468276298
63,0.971809324397
64,0.975630563683
65,0.976722034754
66,0.978023719684
67,0.980456134994
68,0.980447410703
69,0.982169834934
70,0.984001416659
71,0.98484642652
72,0.985435835439
73,0.98660146298
74,0.987814243235
75,0.989047380168
76,0.990989261852
77,0.991739343123
78,0.992948280536
79,0.994100821641
80,0.995893040197
81,0.997582021314
82,1.0
